Wall time,Step,Value
1587504652.0839226,178,0.654296875
1587504652.437986,181,0.6787109375
1587504656.9211218,207,0.6513671875
1587504660.5605407,230,0.65625
1587504670.500065,294,0.6220703125
1587504671.9302442,303,0.595703125
1587504683.0315337,365,0.5869140625
1587504683.9102654,370,0.578125
1587504687.3450737,391,0.6318359375
1587504690.211527,409,0.6298828125
1587504696.719131,444,0.5693359375
1587504696.9824345,446,0.5654296875
1587504698.3118575,454,0.6318359375
1587504715.5224078,557,0.5859375
1587504721.925752,596,0.6298828125
1587504724.2106655,610,0.6728515625
1587504735.3402312,672,0.6513671875
1587504743.4674876,715,0.69140625
1587504744.8687444,722,0.654296875
1587504753.3791304,770,0.6298828125
1587504755.6470964,783,0.646484375
1587504759.4262176,807,0.69140625
1587504766.4559274,850,0.6943359375
1587504767.6596725,858,0.6435546875
1587504775.447907,907,0.62890625
1587504777.690924,921,0.6650390625
1587504780.3946898,938,0.6455078125
1587504781.2753432,944,0.6240234375
1587504785.9468913,972,0.66015625
1587504805.874866,1081,0.6630859375
1587504810.3280585,1107,0.6884765625
1587504817.370485,1150,0.6376953125
1587504826.0521805,1202,0.66015625
1587504832.2781801,1240,0.658203125
1587504845.1648872,1316,0.6318359375
1587504859.275608,1397,0.6572265625
1587504868.6097655,1452,0.6669921875
1587504869.0007186,1455,0.58984375
1587504871.409369,1469,0.6455078125
1587504872.123431,1473,0.630859375
1587504880.469074,1521,0.6171875
1587504881.7541924,1528,0.62890625
1587504889.180535,1572,0.6416015625
1587504894.0685604,1602,0.6630859375
1587504904.2518592,1659,0.634765625
1587504909.048087,1688,0.6328125
1587504911.7161307,1704,0.6396484375
1587504915.074143,1720,0.6279296875
1587504925.2311769,1776,0.6064453125
1587504933.5309935,1827,0.64453125
1587504936.2298932,1845,0.603515625
1587504937.725093,1854,0.6240234375
1587504940.4479325,1870,0.65234375
1587504940.995467,1873,0.6171875
1587504948.7040255,1917,0.5947265625
1587504959.4993575,1980,0.65625
1587504963.232602,2002,0.6328125
1587504963.641535,2005,0.6259765625
1587504964.9121711,2013,0.6279296875
1587504971.7739987,2053,0.6591796875
1587504975.2666829,2070,0.6572265625
1587504977.7799332,2083,0.625
1587504993.606158,2172,0.6728515625
1587505003.56036,2232,0.6103515625
1587505019.5661268,2323,0.607421875
1587505021.5499327,2335,0.6171875
1587505027.5537171,2367,0.671875
1587505028.583332,2373,0.6044921875
1587505031.8955538,2393,0.64453125
1587505032.8549879,2398,0.6181640625
1587505041.2146406,2443,0.6357421875
1587505043.4237213,2455,0.6064453125
1587505049.7415996,2490,0.6435546875
1587505055.3976223,2525,0.6103515625
1587505055.581131,2526,0.640625
1587505063.5969458,2572,0.6494140625
1587505066.5311494,2589,0.58984375
1587505066.8084064,2591,0.58984375
1587505067.5992901,2596,0.609375
1587505072.049467,2621,0.6376953125
1587505072.1831086,2622,0.6318359375
1587505074.2846072,2634,0.5888671875
1587505075.347764,2639,0.61328125
1587505080.3129363,2668,0.6279296875
1587505082.722564,2683,0.599609375
1587505083.7009459,2689,0.6494140625
1587505107.3501146,2821,0.5869140625
1587505116.5040536,2876,0.59375
1587505124.66865,2925,0.5908203125
1587505142.9847772,3032,0.6025390625
1587505156.091412,3103,0.5263671875
1587505168.1892428,3174,0.568359375
1587505168.6470742,3177,0.5751953125
1587505178.4412818,3235,0.583984375
1587505188.8956552,3297,0.556640625
1587505200.3971848,3366,0.5849609375
1587505202.7442925,3380,0.53125
1587505203.0444932,3382,0.580078125
1587505203.2379727,3383,0.58984375
1587505213.083761,3441,0.5673828125
1587505243.129382,3616,0.6611328125
