Step,Value
1,-352.4680609870095
50,-278.1671735713131
100,-234.60659264482598
150,-287.9424705866358
200,-300.8164083638178
250,-254.48893453929824
300,-313.3537902614987
350,-291.3433559582548
400,-230.067828891675
450,-262.0241963658388
500,-298.5380471844095
550,-334.6113000434727
600,-343.53162844325425
650,-250.6806481833152
700,-281.23989878436265
750,-357.4297623896899
800,-301.5623951424688
850,-234.54476644707614
900,-370.2454108327845
950,-277.7927958704278
1000,-262.8729500020892
1050,-263.95828232046
1100,-278.07254051067537
1150,-291.7030302759754
1200,-333.5515641744984
1250,-299.1399097903972
1300,-308.11084698308076
1350,-313.81067874800635
1400,-306.16613059400913
1450,-282.4007049040115
1500,-325.1757573792934
1550,-311.12297861824004
1600,-298.89352352249654
1650,-311.04047955425466
1700,-270.5559209145793
1750,-316.0909189570311
1800,-275.28469411980956
1850,-264.9305896159236
1900,-303.10717972862096
1950,-278.5953846078485
2000,-342.1474528717042
2050,-262.80073513396
2100,-353.8224033802687
2150,-312.38083225671886
2200,-289.79499706161255
2250,-234.8680260946714
2300,-248.76004193247215
2350,-284.0764085628
2400,-239.9324661872467
2450,-297.41605286653464
2500,-303.14771415748504
2550,-304.42734447601623
2600,-283.6092837756239
2650,-267.2405449721119
2700,-273.47160078241217
2750,-248.60162368033244
2800,-288.29380187367997
2850,-311.0020579056171
2900,-373.1172710617315
2950,-328.1426205011835
3000,-261.2453048852624
3050,-337.4636525886389
3100,-376.06153090625645
3150,-280.94071854829735
3200,-348.0632283089653
3250,-306.217085662272
3300,-237.1224212599879
3350,-275.09888687719837
3400,-313.31387374937725
3450,-306.1761284308889
3500,-277.495149317691
3550,-372.49642230536904
3600,-304.0549860677026
3650,-322.3410846592137
3700,-292.6206543263311
3750,-282.15617470979424
3800,-346.28274241308924
3850,-266.8451643606427
3900,-292.4434906787342
3950,-326.56503453048066
4000,-291.3288917758407
4050,-276.1124902072033
4100,-306.8400717207415
4150,-292.58851012187455
4200,-268.954230739284
4250,-311.5977616262927
4300,-325.07786945115475
4350,-345.07059206645783
4400,-308.03146619261685
4450,-284.59493583949296
4500,-307.3707524083156
4550,-241.3415770460024
4600,-262.27036364187467
4650,-289.91061999216186
4700,-277.00553710184266
4750,-295.52909420603186
4800,-373.46817114206766
4850,-269.32733683653555
4900,-240.66630786937677
4950,-246.03793504437996
5000,-285.18759373516065
5050,-308.68113694390877
5100,-303.3576813245204
5150,-258.8755302302399
5200,-283.74378039688906
5250,-312.74631974925745
5300,-319.20749190856026
5350,-338.47500467145727
5400,-410.942816571879
5450,-270.86898331804673
5500,-248.19640873839592
5550,-240.38635308870124
5600,-244.9238435657437
5650,-271.7265857036331
5700,-330.1509276413857
5750,-263.7037862255444
5800,-245.53048468420036
5850,-296.99932827769914
5900,-314.34741196145137
5950,-349.71124984433925
6000,-313.9063463015041
6050,-287.46739436596386
6100,-334.4798257396988
6150,-319.80512351264434
6200,-293.9378299721637
6250,-320.4251534098748
6300,-374.05440079473794
6350,-254.23230098182418
6400,-302.3809054399833
6450,-235.58376149273434
6500,-310.09439359233977
6550,-307.13584163162176
6600,-310.1141368897356
6650,-343.7910007517915
6700,-317.76467663675066
6750,-269.24911787498286
6800,-313.2956097457937
6850,-307.73017225565206
6900,-272.63044751369415
6950,-323.5298969824524
7000,-319.0896330220931
7050,-317.0724204994048
7100,-268.5104888179096
7150,-310.4782186651048
7200,-305.05917184135257
7250,-286.08323578197417
7300,-304.87338076401096
7350,-368.8619736723425
7400,-257.12389386479634
7450,-248.83067235277085
7500,-312.75376880183165
7550,-273.3999175849455
7600,-261.9727671888561
7650,-291.9416857555764
7700,-335.90021460421383
7750,-372.91335763839976
7800,-311.87124671568483
7850,-325.1842022543413
7900,-386.0409837814643
7950,-307.9686760620602
8000,-339.8956453293972
8050,-303.51687598284235
8100,-293.87362835093376
8150,-248.91471955953313
8200,-257.5772812601271
8250,-265.0516614613766
8300,-300.00509350372346
8350,-291.5555592753212
8400,-301.70107476282743
8450,-292.43556605220823
8500,-267.31488426613004
8550,-306.30874592310835
8600,-323.77512328326736
8650,-287.44834245113964
8700,-280.90652871430814
8750,-275.6536372316215
8800,-280.01879519535976
8850,-266.5329185759094
8900,-262.1460001879729
8950,-291.6114291063483
9000,-351.8905012707838
9050,-256.1787920313867
9100,-294.31978757384064
9150,-335.73173210920953
9200,-275.76035041035857
9250,-306.977307407644
9300,-286.3415026965414
9350,-262.0749209437659
9400,-267.71084088823994
9450,-341.3643479830407
9500,-336.75480927783036
9550,-263.5105222674136
9600,-328.51454405604994
9650,-310.5449789714954
9700,-306.50756598753105
9750,-296.8639363458171
9800,-323.8166846157548
9850,-282.8750399688006
9900,-270.2578262520399
9950,-324.09230191037244
10000,-378.41188134869776
10050,-271.40111697839626
10100,-320.16893864561445
10150,-264.7832167558443
10200,-271.29065443407313
10250,-323.33711601526704
10300,-272.1697374619899
10350,-305.2225202664742
10400,-330.36751166779743
10450,-360.569360706824
10500,-267.14179486911905
10550,-346.5275129635687
10600,-231.40522046476363
10650,-268.54072591743557
