Step,Value
1,-97.7168241110813
50,-94.39767608493432
100,-94.70729960455054
150,-94.58421375453626
200,-95.09903554872652
250,-92.73497557933392
300,-94.40224460882767
350,-94.04748751492885
400,-94.39235382291236
450,-94.34348754008086
500,-94.29627359216272
550,-94.5892252982054
600,-95.21291769935597
650,-94.65166551612802
700,-94.50340832468977
750,-94.7861197134908
800,-95.04308023357093
850,-92.09865438059404
900,-94.10479512494224
950,-95.03660995536083
1000,-94.69048604133174
1050,-94.96699432118227
1100,-94.46665889751388
1150,-94.81993322474253
1200,-95.26020338996736
1250,-94.42124200501827
1300,-92.12860826233538
1350,-94.16401292157843
1400,-94.50248446980919
1450,-94.38173306538718
1500,-93.24072458335131
1550,-95.142110037091
1600,-94.57751166781705
1650,-93.97893913948072
1700,-94.53276216401314
1750,-94.7302161642346
1800,-95.02094022841749
1850,-94.88640763453745
1900,-92.65413119383612
1950,-94.92447761704567
2000,-94.80177048855238
2050,-94.80599731719941
2100,-94.92448040314918
2150,-94.71798684314186
2200,-92.53759949330139
2250,-94.7724579117294
2300,-94.47502855034742
2350,-95.09206933396158
2400,-94.47581586126643
2450,-94.85112349175853
2500,-93.10426412952081
2550,-94.51896644724842
2600,-94.76866230838021
2650,-93.98248185527923
2700,-94.23589482385648
2750,-94.56509053219862
2800,-94.56530489844467
2850,-94.47712017229671
2900,-95.09245415753416
2950,-94.7039472971152
3000,-90.5118540350595
3050,-94.63459943407717
3100,-92.5204884334358
3150,-94.60508798598117
3200,-94.53555820631385
3250,-95.5549769429091
3300,-94.42945615335879
3350,-94.24542873794489
3400,-94.39846261392188
3450,-93.86740709346124
3500,-94.71217513138552
3550,-95.04495255723674
3600,-94.03359945352724
3650,-94.40911715970276
3700,-92.41860260728012
3750,-94.60364991494531
3800,-93.76304191195963
3850,-94.33242710536973
3900,-94.32653775312956
3950,-92.88962774358092
4000,-95.11603433778419
4050,-94.08237671794215
4100,-94.35939973651419
4150,-94.36991342101153
4200,-95.12651047456397
4250,-94.64381174022206
4300,-94.47096365134257
4350,-92.91579714261057
4400,-95.23402864144802
4450,-92.1502739501899
4500,-94.85046304004254
4550,-94.2548802501945
4600,-94.52894983335095
4650,-92.71613883931508
4700,-94.7787491422798
4750,-94.66734543655366
4800,-94.67506900588197
4850,-93.8415018199567
4900,-94.98459215842976
4950,-95.07795241046894
5000,-94.7262890704471
5050,-94.28870190598053
5100,-94.49061649176649
5150,-92.21575260265823
5200,-94.40889920966531
5250,-94.46825631371205
5300,-94.70464433932811
5350,-92.44148092530696
5400,-93.85191445612023
5450,-94.98285076268758
5500,-94.35198479906987
5550,-94.83142084509304
5600,-94.81906545337746
5650,-94.97605814799824
5700,-94.71794629899385
5750,-94.30149997614957
5800,-95.23969581900619
5850,-94.90046145240663
5900,-94.54834566893786
5950,-95.56254084691155
6000,-94.2082802896254
6050,-94.99506906904963
6100,-95.61242564496227
6150,-94.42838675119465
6200,-93.6561073752358
6250,-94.39178771523959
6300,-95.12400012013332
6350,-94.13097102515012
6400,-94.34957584967532
6450,-94.52837185274977
6500,-94.88578183620048
6550,-95.44142971656754
6600,-93.94021686957227
6650,-94.30511022938882
6700,-95.27859798819891
6750,-94.17981301111924
6800,-94.23251048328463
6850,-94.64139430534014
6900,-94.4478318394505
6950,-94.62267400741617
7000,-94.10653674544608
7050,-94.39468029223832
7100,-94.18672182438164
7150,-95.66344722266545
7200,-93.52985454786779
7250,-94.93241985736353
7300,-94.12877157453481
7350,-93.10416334935255
7400,-95.20008111217027
7450,-94.64915916354559
7500,-94.99073189991572
7550,-92.7761728832683
7600,-94.2555884974738
7650,-94.52684006692469
7700,-94.12533316067774
7750,-94.53478527714728
7800,-94.61759753069938
7850,-94.13334812591924
7900,-94.93655183005711
7950,-93.9771097324626
8000,-95.00976473679144
8050,-94.54452847883186
8100,-94.5486876095512
8150,-94.50513723675782
8200,-92.36021743226398
8250,-94.39357629798764
8300,-95.351739623824
8350,-94.56661883655117
8400,-94.65354200072848
8450,-94.18249510359433
8500,-94.39315103246345
8550,-94.59726689125414
8600,-94.05695942429514
8650,-94.4731560147509
8700,-94.18143030201844
8750,-94.89031958410612
8800,-94.83010001730725
8850,-94.55994692666017
8900,-94.60977203350429
8950,-94.98359583519483
9000,-94.59001804534742
9050,-94.42197738600984
9100,-94.69064833337333
9150,-90.46866407346188
9200,-94.66517514804151
9250,-94.6587552397889
9300,-95.08358796250178
9350,-94.4178894748821
9400,-94.72308768162317
9450,-94.1055717153234
9500,-94.42324587678878
9550,-94.57706771003022
9600,-94.40441195452013
9650,-94.13699719618667
9700,-93.80446475363992
9750,-94.59192070694534
9800,-95.14405992488886
9850,-94.3475680263701
9900,-92.63322203669209
9950,-94.86636142458725
10000,-95.02926761134937
