Step,Value
1,-144.94328531753717
50,-82.33693884865691
100,-77.89514973415723
150,-77.51291443980075
200,-77.2901345332527
250,-78.4483614531402
300,-78.84542689792879
350,-76.87766357689749
400,-78.62933805969107
450,-78.45463557430932
500,-80.20501825335106
550,-78.39218744002969
600,-78.62654710110523
650,-78.5409095509376
700,-78.59764317192467
750,-77.9146456356229
800,-77.97209560116886
850,-81.02272389707277
900,-78.48567085784127
950,-78.65613239498788
1000,-79.07504257085469
1050,-80.23042129534892
1100,-78.25072368870612
1150,-82.42979128075596
1200,-79.7458770784527
1250,-78.68493644290838
1300,-82.41474622525669
1350,-77.54539850294243
1400,-78.94426003513091
1450,-79.07118991499226
1500,-77.75692547098315
1550,-78.7601977584103
1600,-78.03264661942752
1650,-81.35893598155444
1700,-80.0273999504311
1750,-78.76854768846833
1800,-78.03392928539488
1850,-80.18159192712973
1900,-79.38690363083802
1950,-76.9704573252052
2000,-78.93933870405594
2050,-81.70923747390574
2100,-77.81337851408696
2150,-79.53482731698658
2200,-79.2082841049753
2250,-79.1027807151218
2300,-78.22195031460878
2350,-81.11531206574496
2400,-77.98679312618964
2450,-78.16222470511758
2500,-79.49272058462324
2550,-79.22592255045046
2600,-78.42490985735346
2650,-78.98825367728051
2700,-79.25330272581559
2750,-79.57365677606398
2800,-81.54926395247088
2850,-78.40294860017
2900,-78.75102415460219
2950,-77.59228197765455
3000,-78.48577942740009
3050,-78.890268743988
3100,-79.80026800815385
3150,-77.94117100755831
3200,-78.30531901438093
3250,-78.96134886069518
3300,-78.46289172366653
3350,-78.82840217935262
3400,-82.2256971155907
3450,-78.02774646417639
3500,-78.49642973110939
3550,-80.46931387128106
3600,-78.80733386249041
3650,-80.04175517901683
3700,-77.87567246836541
3750,-76.99934102448864
3800,-78.57228831112845
3850,-78.67255260631441
3900,-79.40482085245569
3950,-79.98786700712623
4000,-77.23379591611179
4050,-78.74193620248523
4100,-79.07679132711328
4150,-78.73487045001748
4200,-81.36963736944763
4250,-78.472992470254
4300,-78.54997782631057
4350,-78.90759445476982
4400,-80.6220850883819
4450,-78.16411813605627
4500,-78.57737788336132
4550,-79.15443311415292
4600,-79.20683948225158
4650,-78.78914153444684
4700,-79.22813309930478
4750,-79.39254891783148
4800,-82.0807739526292
4850,-76.6104616264993
4900,-78.42007242053357
4950,-77.82509266679148
5000,-78.63973931679637
5050,-78.52810216072201
5100,-79.49413736232364
5150,-78.65900437063966
5200,-79.20606999115998
5250,-79.07845778243048
5300,-77.29371246684126
5350,-81.07982415913081
5400,-79.21917492255587
5450,-78.80202134241117
5500,-79.4285090443799
5550,-78.46623643103099
5600,-78.48152601165393
5650,-78.56444009079972
5700,-79.2118716514297
5750,-78.85044297888795
5800,-78.02375862106238
5850,-77.72599989895201
