Step,Value
1,-127.89818589569886
50,-112.56398441111995
100,-115.17979927663866
150,-116.29986292321627
200,-114.84088053583756
250,-115.56564826293379
300,-114.50173996652333
350,-115.93392512946357
400,-112.52152513283016
450,-113.60544264089214
500,-115.33625189540837
550,-114.99050528378736
600,-116.17355910306905
650,-113.14439214886687
700,-115.08049627448361
750,-117.4416371218549
800,-114.41340395869044
850,-108.58970987671846
900,-112.67318203147039
950,-112.38104541011893
1000,-114.79590283265394
1050,-113.67336912074411
1100,-113.28349855834587
1150,-116.03301489656043
1200,-112.10460333022911
1250,-117.82434753853165
1300,-112.28849796803917
1350,-117.66786787255738
1400,-116.75311361278054
1450,-115.82064744110899
1500,-111.5371267628948
1550,-116.85596654696677
1600,-113.08510284801572
1650,-114.73299348281085
1700,-116.11791073282107
1750,-115.46734256886899
1800,-115.5322044331277
1850,-112.36780082295704
1900,-109.61062637685711
1950,-112.16130557473787
2000,-113.42348042442623
2050,-113.72037853213145
2100,-117.45159253729244
2150,-112.66168122155514
2200,-113.7394735304287
2250,-111.92750356817746
2300,-113.27434728963941
2350,-113.44784264191414
2400,-114.53054522267159
2450,-115.51598019894519
2500,-113.87252237561216
2550,-113.18782517878785
2600,-115.49147197722668
2650,-114.93048676325108
2700,-116.3345886985965
2750,-113.88213633397288
2800,-112.87216817701159
2850,-117.28264813790122
2900,-113.58784505061703
2950,-115.69732915878689
3000,-107.7157304795564
3050,-113.7471190854024
3100,-111.03181282328401
3150,-114.69455320972895
3200,-117.86242881486073
3250,-114.68696716554368
3300,-113.56575585262037
3350,-115.5434904144634
3400,-116.25066112912306
3450,-113.0970824360378
3500,-111.62528864630006
3550,-114.91168294395162
3600,-117.43058629898704
3650,-117.54084706206574
3700,-108.42628533222737
3750,-108.89574111852087
3800,-116.55416110440075
3850,-112.74270956808985
3900,-112.84424658326172
3950,-112.78675323257723
4000,-112.90907810331647
4050,-114.86260162532581
4100,-115.2322544888103
4150,-116.59898307836224
4200,-115.1155711918086
4250,-111.18214382132642
4300,-114.67200519472075
4350,-112.09058960253378
4400,-118.01901346878282
4450,-111.85146152434282
4500,-114.58235116988504
4550,-115.975194627515
4600,-116.35813090113044
4650,-110.29659885817878
4700,-114.53482805794064
4750,-113.65827098147422
4800,-112.79659814867253
4850,-115.01783101504493
4900,-115.42256261158045
4950,-112.82453744343688
5000,-116.02725817451108
5050,-111.1093614638043
5100,-116.39840430833519
5150,-113.82427515996389
5200,-113.55910723985289
5250,-116.48714159242914
5300,-113.44464722415704
5350,-108.733495960366
5400,-113.06391147357432
5450,-112.63165315215463
5500,-113.63534624146867
5550,-113.70850362741314
5600,-114.50113658957764
5650,-115.04189814586908
5700,-113.82193733678876
5750,-112.3038505915721
5800,-117.08299431675145
5850,-118.42044836010962
5900,-113.5348906840944
5950,-120.87106620487535
6000,-112.85833445082966
6050,-112.99051998939534
6100,-114.73393695815757
6150,-115.35371241191103
6200,-117.13768729415231
6250,-114.00356163291514
6300,-114.43036257106301
6350,-115.46680746756795
6400,-115.9919752354556
6450,-112.93667367931994
6500,-115.01684479722888
6550,-115.31083407919967
6600,-114.84330576934826
6650,-116.51547829005557
6700,-114.75003173531957
6750,-113.21653767288336
6800,-112.67738276161124
6850,-112.02287821008584
6900,-114.3211144808671
6950,-114.49735028605842
7000,-112.59378219280279
7050,-114.72752454741858
7100,-110.80798020273096
7150,-114.32887323120275
7200,-114.88444230031584
7250,-112.26737079683697
7300,-111.38900374863715
7350,-110.1246153582956
7400,-115.74287435771507
7450,-114.40674828049043
7500,-115.81930213654887
7550,-110.49748562272083
7600,-112.46206248190322
7650,-113.18058193770224
7700,-111.56350706214947
7750,-112.84976482862476
7800,-114.08880346785833
7850,-116.40772082594326
7900,-112.84014251464137
7950,-114.61873310202847
8000,-117.44991792244917
8050,-113.7555606672211
8100,-112.86274077337889
8150,-116.33222054916189
8200,-110.8152901835295
8250,-113.18574731136896
8300,-116.41045890063593
8350,-114.96779789705442
8400,-113.99608924310742
8450,-119.25131951823029
8500,-115.07281887659511
8550,-115.24536585790834
8600,-114.67303044471205
8650,-117.63929665707103
8700,-112.65933230065176
8750,-115.9566492968906
8800,-116.310756252508
8850,-113.63061596579047
8900,-112.53664031667773
8950,-116.21979951679855
9000,-111.59029178906866
9050,-111.14406941586158
9100,-114.45277143038452
9150,-110.7327530442031
9200,-114.14416922526158
9250,-111.81761306497154
9300,-118.21211462575074
9350,-111.38217345465522
9400,-116.04098169400892
9450,-113.61444078832783
9500,-114.21889635402384
9550,-112.40968452816452
9600,-111.71188579907299
9650,-114.59584264138485
9700,-113.12190062501604
9750,-113.49167812137576
9800,-113.73792490338265
9850,-115.05701340381276
9900,-111.5699531628066
9950,-113.93268979149049
10000,-116.41062479650589
