Wall time,Step,Value
1590210747.1980908,257,14457.83203125
1590210747.9667332,260,13774.4560546875
1590210755.2408965,286,13008.90625
1590210762.4041703,309,15186.26953125
1590210781.7598236,373,13261.611328125
1590210784.2130117,382,12490.7138671875
1590210803.1569645,444,12605.392578125
1590210804.5571723,449,13371.6376953125
1590210810.9105484,470,12246.15234375
1590210816.047862,488,12146.765625
1590210825.8859415,523,12004.4169921875
1590210826.3925884,525,11591.328125
1590210828.639167,533,12339.4609375
1590210858.7604265,636,12647.9013671875
1590210870.2143903,675,14257.125
1590210874.1488285,689,14885.8203125
1590210892.356935,751,13331.3125
1590210905.7635546,794,13813.7392578125
1590210907.930012,801,12888.369140625
1590210923.1414688,849,14025.8447265625
1590210926.3749728,862,13212.0576171875
1590210934.0080202,886,11450.025390625
1590210946.5900874,929,13221.7353515625
1590210949.3106325,937,12426.8115234375
1590210962.5993435,986,10812.35546875
1590210966.4544415,1000,14455.583984375
1590210972.2481449,1017,12995.5859375
1590210974.2380002,1023,11204.408203125
1590210982.9986358,1051,11538.30859375
1590211019.4309883,1160,9865.919921875
1590211026.79033,1186,12127.83203125
1590211039.035789,1229,11719.671875
1590211054.8082526,1281,12449.310546875
1590211068.1537464,1319,11466.556640625
1590211093.2054908,1395,9176.361328125
1590211118.7782185,1476,10536.08203125
1590211136.1695435,1531,11282.4765625
1590211137.0232286,1534,10716.966796875
1590211142.0021534,1548,11265.3427734375
1590211143.584449,1552,9309.837890625
1590211159.8603518,1600,9587.4296875
1590211162.719911,1607,11501.0400390625
1590211176.076408,1651,9223.59375
1590211186.0355232,1681,11778.41015625
1590211202.8148847,1738,10563.07421875
1590211211.887966,1767,10106.14453125
1590211217.8507433,1783,10282.93359375
1590211222.9578984,1799,10117.103515625
1590211241.4187593,1855,11818.7734375
1590211256.9491994,1906,12084.1728515625
1590211262.8839676,1924,10653.0263671875
1590211266.1809926,1933,13144.041015625
1590211271.6426528,1949,11389.03125
1590211272.6744297,1952,9816.4853515625
1590211288.1625855,1996,9921.783203125
1590211307.964465,2059,11268.0498046875
1590211314.729002,2081,9628.580078125
1590211315.7024114,2084,10371.9814453125
1590211318.2736926,2092,12172.451171875
