Wall time,Step,Value
1590210829.649954,257,19092.271484375
1590210830.350652,260,17762.41796875
1590210841.900993,286,18890.21484375
1590210850.885355,309,18988.76953125
1590210873.87066,373,14740.3857421875
1590210877.004257,382,15861.669921875
1590210898.7777972,444,15231.185546875
1590210900.185942,449,15514.302734375
1590210909.169179,470,17475.6796875
1590210915.237789,488,20285.810546875
1590210926.3494022,523,16317.0078125
1590210927.016854,525,13937.0849609375
1590210930.061769,533,16757.111328125
1590210965.453714,636,16448.548828125
1590210978.156217,675,15076.41015625
1590210982.0176342,689,14997.5703125
1590211001.9146008,751,13842.6494140625
1590211016.2175539,794,12080.931640625
1590211018.3907661,801,15280.126953125
1590211033.767444,849,13168.244140625
1590211037.666002,862,13974.23828125
1590211045.495218,886,13936.556640625
1590211059.263703,929,13129.08203125
1590211061.904515,937,15083.201171875
1590211077.311264,986,14110.7421875
1590211082.387255,1000,13037.208984375
1590211088.2942028,1017,11303.896484375
1590211090.0893068,1023,13304.9091796875
1590211099.7086751,1051,13800.271484375
1590211139.103611,1160,9749.9072265625
1590211148.178893,1186,12589.775390625
1590211163.145376,1229,13492.5498046875
1590211181.08765,1281,9690.9658203125
1590211193.3318348,1319,12372.294921875
1590211220.721935,1395,12164.76953125
1590211248.123903,1476,12134.7705078125
1590211267.367319,1531,11400.705078125
1590211268.4166331,1534,10820.884765625
1590211273.467681,1548,13071.51171875
1590211274.859454,1552,11773.154296875
1590211291.90973,1600,11930.8115234375
1590211295.013642,1607,11345.359375
1590211310.1863391,1651,9497.5390625
1590211320.136999,1681,9712.244140625
1590211341.3223429,1738,13240.6171875
1590211353.0199978,1767,12844.998046875
1590211357.8941782,1783,11261.6748046875
1590211363.94507,1799,11471.91015625
1590211382.572868,1855,11715.064453125
1590211400.247812,1906,12192.056640625
1590211406.419565,1924,11755.462890625
1590211409.6666062,1933,10466.25
1590211415.671893,1949,11945.033203125
1590211416.5981052,1952,9210.8330078125
1590211432.62379,1996,13145.642578125
1590211457.6559849,2059,11607.796875
1590211466.84782,2081,11680.4609375
1590211468.347696,2084,9968.8447265625
1590211471.179821,2092,10193.6767578125
1590211485.454499,2132,11810.515625
1590211491.388424,2149,9616.427734375
1590211496.271279,2162,12086.52734375
1590211528.869313,2251,9080.8935546875
1590211550.003165,2311,10821.140625
1590211584.4107342,2402,10531.728515625
1590211589.47379,2414,9840.1259765625
1590211600.181818,2446,9406.875
1590211602.49969,2452,8363.1767578125
1590211609.324969,2472,10654.11328125
1590211610.859904,2477,9928.5068359375
1590211628.017765,2522,9438.298828125
1590211632.555865,2534,11593.50390625
1590211644.617128,2569,11354.1611328125
1590211657.249117,2604,10551.19921875
1590211657.64271,2605,10880.2548828125
1590211677.3122308,2651,8899.521484375
1590211684.620876,2668,10162.384765625
1590211685.4751759,2670,8743.9990234375
1590211687.74639,2675,9545.0205078125
1590211696.870441,2700,10917.3720703125
1590211697.412406,2701,9848.220703125
1590211702.822295,2713,11363.107421875
1590211705.321205,2718,9711.59375
1590211717.4427361,2747,11418.078125
1590211724.064288,2762,10899.4375
1590211726.4968278,2768,8867.54296875
1590211779.383799,2900,8620.9287109375
1590211800.793,2955,7097.744140625
1590211819.563657,3004,7661.6259765625
1590211865.254279,3111,9226.5830078125
1590211894.360097,3182,8518.1162109375
1590211924.51245,3253,8063.0322265625
1590211926.129676,3256,7828.68896484375
1590211948.548077,3314,9392.5244140625
1590211973.987454,3376,8454.939453125
1590212000.964244,3445,8541.19140625
1590212006.4937441,3459,6653.58154296875
1590212007.318104,3461,7087.697265625
1590212007.628117,3462,8088.931640625
1590212030.0258062,3520,7095.2646484375
1590212101.282801,3695,9184.2998046875
1590212153.897266,3815,6032.1669921875
1590212160.255003,3833,6527.6728515625
1590212161.163658,3835,7868.2421875
1590212182.03575,3885,6277.06982421875
1590212212.0585501,3956,7783.388671875
1590212235.75262,4008,6082.92529296875
1590212244.473994,4029,8331.505859375
1590212246.908426,4036,6581.953125
1590212291.503119,4143,6221.1298828125
1590212302.468382,4171,6341.56201171875
1590212313.511723,4199,5365.85986328125
1590212333.8495958,4251,6127.5830078125
1590212360.077638,4313,5252.39013671875
1590212401.212808,4411,6033.3623046875
1590212412.801435,4442,5429.001953125
1590212415.281294,4447,4782.2314453125
1590212449.282388,4532,5024.388671875
