Wall time,Step,Value
1587090521.7214699,178,10135.052734375
1587090522.265835,181,10480.4169921875
1587090530.126226,207,11598.73828125
1587090537.201899,230,12540.2314453125
1587090555.142577,294,10705.990234375
1587090557.9490519,303,11110.9638671875
1587090574.6388779,365,9308.6875
1587090575.943115,370,10078.2666015625
1587090581.576938,391,11157.654296875
1587090586.479383,409,11269.169921875
1587090596.054142,444,10329.708984375
1587090596.6002922,446,10491.904296875
1587090598.972241,454,9175.0
1587090629.8484101,557,11376.3037109375
1587090640.478702,596,11694.5205078125
1587090645.156132,610,12731.876953125
1587090662.2482681,672,10434.013671875
1587090673.897971,715,11291.904296875
1587090675.727869,722,11852.087890625
1587090689.5363488,770,10739.501953125
1587090693.0804741,783,10361.525390625
1587090699.4852521,807,10981.6806640625
1587090711.525905,850,11612.04296875
1587090713.8080168,858,11580.673828125
1587090727.494414,907,12251.458984375
1587090731.5041761,921,11913.5166015625
1587090736.472091,938,10668.34765625
1587090737.897689,944,11268.0693359375
1587090745.594263,972,9436.68359375
1587090775.722472,1081,10243.53125
1587090783.264788,1107,11417.96875
1587090794.896411,1150,10227.4853515625
1587090808.4454038,1202,12029.9765625
1587090819.290488,1240,12727.98828125
1587090840.6885161,1316,9302.5390625
1587090863.9075682,1397,9415.61328125
1587090879.081719,1452,9455.4921875
1587090879.890818,1455,10936.80078125
1587090883.760664,1469,9105.9853515625
1587090884.663405,1473,10106.890625
1587090898.9153001,1521,10094.62890625
1587090901.191659,1528,9942.78125
1587090913.66685,1572,10300.8916015625
1587090921.6777868,1602,11749.24609375
1587090939.195903,1659,11423.5078125
1587090948.202157,1688,9664.267578125
1587090953.707958,1704,8772.974609375
1587090958.540703,1720,9480.86328125
1587090977.216346,1776,12090.0703125
1587090993.882796,1827,9893.857421875
1587090998.913503,1845,11858.94921875
1587091001.778133,1854,9920.40625
1587091006.567439,1870,10463.4892578125
1587091007.266098,1873,11122.2900390625
1587091019.3693361,1917,10963.2734375
1587091041.320678,1980,9460.46875
1587091048.274428,2002,11748.208984375
1587091049.2910342,2005,8247.873046875
1587091051.5393128,2013,11730.384765625
1587091064.590275,2053,9867.921875
1587091070.980009,2070,10765.15234375
1587091074.8483,2083,11972.65625
1587091100.8761559,2172,8221.0732421875
1587091118.661955,2232,10019.6083984375
1587091147.206263,2323,11026.7265625
1587091151.203873,2335,7743.1015625
1587091161.371265,2367,7090.0361328125
1587091163.033333,2373,8926.9619140625
1587091168.5170429,2393,11490.662109375
1587091169.8071868,2398,8842.8369140625
1587091183.261089,2443,8456.2734375
1587091187.575982,2455,9636.9599609375
1587091199.45016,2490,8604.849609375
1587091210.229129,2525,8668.5703125
