Wall time,Step,Value
1592199352.620338,248,5246.453125
1592199358.6411507,260,5231.578125
1592199361.6315296,266,5382.27685546875
1592199362.191019,267,5272.685546875
1592199363.2802317,271,5326.47314453125
1592199373.976781,291,5262.5966796875
1592199377.3569088,297,5100.0712890625
1592199379.0921705,301,5015.0244140625
1592199380.250557,302,5648.1494140625
1592199382.6826024,307,5172.7900390625
1592199383.339944,308,5531.9033203125
1592199386.2417634,315,5275.01708984375
1592199389.834293,324,5172.4111328125
1592199400.1974394,345,5247.8505859375
1592199414.9990346,377,5433.3701171875
1592199415.0349557,377,5433.197265625
1592199417.4809227,382,5346.47216796875
1592199418.0813172,383,5200.2177734375
1592199419.2678323,387,5071.79296875
1592199433.974506,413,4755.63916015625
1592199435.8360355,417,5230.65283203125
1592199435.8629596,417,5230.64990234375
1592199443.975019,431,5883.79541015625
1592199446.750349,435,5765.123046875
1592199454.8506546,447,5805.78515625
1592199463.7076323,463,5209.328125
1592199472.132886,474,5406.89599609375
1592199476.8894918,482,5524.076171875
1592199480.6286762,492,4963.2822265625
1592199480.6386368,492,4963.1669921875
1592199480.7952487,493,5365.849609375
1592199492.9777234,512,4812.29296875
1592199511.3217304,547,5303.6259765625
1592199521.5867693,567,5551.1513671875
1592199521.7655196,568,5394.23828125
1592199524.8156245,574,4516.8671875
1592199544.195364,605,5297.48828125
1592199544.2552047,606,4658.470703125
1592199547.7408838,611,5035.408203125
1592199552.3415794,618,5323.1572265625
1592199554.890776,625,4912.61962890625
1592199555.423474,626,4751.892578125
1592199563.0323474,639,5457.201171875
1592199583.0588741,675,5187.8076171875
1592199586.7478678,684,5266.75048828125
1592199591.7212071,693,5160.3056640625
1592199592.5083194,694,4789.5166015625
1592199601.5425131,711,5301.14306640625
1592199608.7847013,722,4684.86865234375
1592199620.519471,741,4776.162109375
1592199632.7889779,757,5146.1552734375
1592199645.4424982,778,4473.2275390625
1592199645.6059916,779,4713.1376953125
1592199668.8513463,816,5170.49365234375
1592199677.5592136,830,5105.7197265625
1592199678.8179626,834,4856.3994140625
1592199684.6254203,843,4548.0927734375
1592199697.9969687,864,4327.21484375
1592199698.45376,865,4831.1826171875
1592199701.8200698,872,4398.19677734375
1592199716.6470304,901,5058.509765625
1592199723.058375,913,4883.2666015625
1592199724.353879,915,4541.388671875
1592199730.626232,929,3680.4111328125
1592199735.6643116,940,4413.38671875
1592199748.7438054,959,5092.361328125
1592199761.2428854,982,4630.072265625
1592199765.054162,990,4784.390625
1592199765.0820858,990,4783.64208984375
1592199767.683857,995,4736.2001953125
1592199787.0711768,1023,4657.9892578125
1592199788.3878274,1027,5425.7080078125
1592199797.1835325,1043,4555.6669921875
1592199800.9606888,1050,5263.20751953125
1592199809.1871445,1062,4736.8876953125
1592199812.0008578,1066,4212.3935546875
1592199820.3161097,1080,4149.0322265625
1592199825.3818448,1093,4491.5419921875
1592199825.5153916,1094,4965.08544921875
1592199830.7148867,1104,5560.857421875
1592199845.322737,1131,5378.47314453125
1592199847.7592208,1137,5232.1884765625
1592199850.454335,1143,5055.65966796875
1592199865.923946,1170,4772.2060546875
1592199880.052359,1190,4845.9453125
1592199883.7799025,1199,4362.2548828125
1592199884.6675007,1200,5105.75830078125
1592199894.4803317,1213,5232.97119140625
1592199903.5549202,1234,4035.88720703125
1592199926.9685242,1271,4606.98046875
1592199927.0762389,1272,4630.9794921875
1592199933.3121042,1283,4587.2080078125
1592199938.3122385,1291,5000.15869140625
1592199941.443021,1296,4385.126953125
1592199945.6677737,1304,4958.70458984375
1592199959.97194,1322,5018.19189453125
1592199965.2319682,1334,4553.46630859375
1592199965.2588947,1334,4553.453125
1592199968.9049697,1340,4824.9287109375
1592199969.0266442,1341,4362.255859375
1592199972.3390117,1346,4554.21337890625
1592199975.25181,1354,5334.5927734375
1592199994.3996563,1385,5125.5048828125
1592200000.9855828,1397,4558.72802734375
1592200002.3956065,1400,4631.0126953125
1592200009.4215596,1412,4357.43603515625
1592200012.3140342,1419,4909.9814453125
1592200025.5206857,1440,4266.54541015625
1592200025.849042,1441,4827.62646484375
1592200038.11539,1460,4894.4580078125
1592200047.856183,1473,4603.1767578125
1592200073.023857,1511,4500.65234375
1592200084.774457,1531,4253.6826171875
1592200096.6126459,1547,4576.0244140625
1592200097.7356427,1550,4193.62060546875
1592200135.0312767,1598,4390.65283203125
1592200137.6763217,1603,4512.3203125
1592200139.3104403,1606,4716.0419921875
1592200152.6315067,1625,4781.03857421875
1592200180.5727613,1666,4109.4951171875
1592200184.7632816,1673,4635.123046875
1592200189.6578164,1677,3938.220947265625
1592200196.9732237,1688,4711.552734375
1592200210.465496,1707,4257.5986328125
1592200212.890874,1710,4285.1337890625
1592200221.1067162,1721,4169.7705078125
1592200226.3663902,1731,3179.103515625
1592200265.3846185,1791,3840.884521484375
1592200267.1203415,1794,4588.22265625
1592200286.70405,1818,4192.3212890625
1592200288.6900938,1820,4226.9072265625
1592200313.8651874,1855,4094.31689453125
1592200322.000559,1868,4542.4501953125
1592200326.1774213,1876,4399.55419921875
1592200359.7839582,1924,4214.40234375
1592200362.0201013,1929,4024.59765625
1592200374.255726,1950,3976.889892578125
1592200375.6486373,1953,4586.7578125
1592200391.3301253,1975,4860.3974609375
1592200391.976383,1977,4542.294921875
1592200405.32177,1998,4415.2255859375
1592200405.7451668,1999,3611.89111328125
1592200479.6416476,2089,3839.812255859375
1592200529.8789191,2155,3678.3466796875
1592200534.7579508,2160,4461.802734375
1592200561.0941231,2197,4099.494140625
1592200569.60492,2208,4189.9970703125
1592200569.8891597,2209,3642.439697265625
1592200574.8298442,2217,4130.55810546875
1592200583.058752,2228,3695.95849609375
1592200593.5987537,2243,4431.607421875
1592200597.2944067,2249,4241.59375
1592200598.1580966,2250,3954.62548828125
1592200603.5959435,2257,4240.74609375
1592200611.01231,2268,4105.12890625
1592200611.6147285,2269,4010.84033203125
1592200617.191646,2276,3808.822021484375
1592200625.558598,2288,4252.26806640625
1592200632.1732616,2297,4028.70654296875
1592200633.2174625,2298,4149.111328125
1592200634.713945,2301,4502.8603515625
1592200648.0093546,2321,3583.522216796875
1592200649.1433227,2322,3963.64599609375
1592200655.2525718,2329,3589.021484375
1592200675.1215904,2352,3854.03662109375
1592200679.8972046,2358,3862.429931640625
1592200685.1636853,2367,3799.271728515625
1592200692.6665783,2375,3579.32958984375
1592200698.7738538,2383,3429.65576171875
1592200711.1161547,2396,4094.629638671875
1592200727.0911784,2428,3381.03955078125
1592200753.12423,2468,3928.500244140625
1592200760.7093058,2477,4077.43359375
1592200762.1225457,2479,4328.11865234375
1592200772.097806,2491,3401.013427734375
1592200798.0995522,2528,4057.68212890625
1592200821.545989,2557,3725.443359375
1592200821.6756418,2558,3297.1533203125
1592200825.334856,2563,4011.478759765625
1592200826.6564808,2565,3984.505126953125
1592200834.0298996,2572,4384.16943359375
1592200840.8875053,2580,3791.802734375
1592200846.3627338,2586,3436.55224609375
1592200856.041526,2598,3549.084228515625
1592200866.1584945,2611,2954.00390625
1592200867.3984678,2612,3505.8525390625
1592200868.4160612,2614,3259.4677734375
1592200884.4545577,2637,3237.093505859375
1592200898.5983813,2658,3413.811279296875
1592200909.8475816,2672,4043.7060546875
1592200909.8655329,2672,4042.6123046875
1592200912.9748802,2676,4276.3427734375
1592200914.3851082,2678,3510.52490234375
1592200933.5134866,2706,3708.650390625
1592200942.1019838,2715,3000.232421875
1592200942.8161032,2716,3456.9462890625
1592200956.6923885,2734,3145.5126953125
1592200960.361764,2737,3263.00048828125
1592200967.5808609,2744,3597.029541015625
1592200987.565671,2769,3757.95751953125
1592200993.857344,2777,3573.8232421875
1592200999.322126,2783,3160.39794921875
1592201031.1618876,2825,3297.970947265625
1592201034.9149802,2828,3531.6025390625
1592201039.8206131,2836,3181.68017578125
1592201053.5076725,2850,3028.69091796875
1592201060.7253723,2859,3587.506591796875
1592201069.696377,2874,3202.3193359375
1592201080.877727,2891,2946.39892578125
1592201106.9562695,2923,3299.02490234375
1592201106.9652457,2923,3299.0234375
1592201110.1677668,2926,3708.33544921875
1592201132.594545,2958,3410.95068359375
1592201132.8718474,2959,3284.35986328125
1592201132.9120119,2959,3284.3564453125
1592201132.9209874,2959,3284.355224609375
1592201139.2926695,2971,3903.016845703125
1592201157.6795056,2994,3379.7109375
1592201163.9291553,3004,2774.570068359375
1592201165.4919763,3007,2933.384765625
1592201180.1527202,3026,3315.30224609375
1592201185.4021108,3035,2997.8935546875
1592201188.4198859,3040,3535.43359375
1592201223.0108082,3087,2922.85888671875
1592201223.937419,3089,2772.59130859375
1592201230.3368456,3098,2646.92431640625
1592201267.3584714,3141,3562.974609375
1592201268.6536837,3143,3323.292724609375
1592201273.5464196,3150,2642.6279296875
1592201284.8071184,3164,2641.8720703125
1592201288.44547,3170,2671.24462890625
1592201302.2834857,3191,3195.23486328125
1592201303.591796,3192,3129.800048828125
1592201312.1618524,3200,2893.51513671875
1592201315.8893025,3205,2982.55078125
1592201330.803393,3226,3278.438232421875
1592201344.225592,3244,3150.364501953125
1592201346.664135,3247,3047.108154296875
1592201356.827447,3261,3347.6103515625
1592201363.0284524,3268,2518.13427734375
1592201368.045908,3276,3051.61669921875
1592201379.1144948,3291,2640.1142578125
1592201390.055019,3305,2961.78515625
1592201395.2882557,3314,3470.671875
1592201396.4902446,3316,2814.76904296875
1592201448.5816605,3384,2824.774658203125
1592201450.6811452,3388,3194.99951171875
1592201466.9752421,3413,3350.568115234375
1592201481.9982119,3432,2902.03271484375
1592201487.000539,3437,2592.9921875
1592201492.6660285,3444,3133.14208984375
1592201506.8213594,3464,2739.303466796875
1592201522.9311893,3487,3298.48291015625
1592201531.6186721,3498,2821.326171875
1592201540.1344986,3509,2703.47998046875
1592201548.6493697,3520,2975.090576171875
1592201558.942351,3533,2743.4462890625
1592201559.787708,3534,2894.56396484375
1592201570.0376546,3547,3378.9306640625
1592201579.5605059,3559,2303.419189453125
1592201581.1165323,3561,2929.0322265625
1592201581.174378,3562,2670.66552734375
1592201587.1423995,3571,2301.431640625
1592201593.5431027,3578,3171.324462890625
1592201597.2940707,3581,2796.741943359375
1592201599.6250563,3584,2872.362060546875
1592201627.0731719,3616,2402.623046875
1592201627.9319258,3617,2134.9658203125
1592201628.2081823,3618,2799.502685546875
1592201629.5630476,3620,3175.4296875
1592201630.6571221,3622,2650.27587890625
1592201634.53974,3627,2691.93994140625
1592201635.7076118,3629,3311.04736328125
1592201637.864779,3631,2795.029296875
1592201640.6741624,3635,2914.87890625
1592201650.0032425,3647,2240.306884765625
1592201659.2082186,3658,2946.384521484375
1592201671.8377056,3680,2836.85498046875
1592201674.314464,3682,3040.28369140625
1592201684.279505,3696,3118.59912109375
1592201689.2508252,3703,3355.775390625
1592201702.8850007,3722,2597.12646484375
1592201745.699459,3777,2729.8466796875
1592201747.6901543,3779,2862.251220703125
1592201747.9275012,3780,2568.67333984375
1592201748.2321994,3781,2490.889892578125
1592201758.1815248,3792,2527.275390625
1592201765.6293113,3801,2511.169921875
1592201781.7082534,3821,3201.238037109375
1592201781.7730796,3821,3194.004638671875
1592201786.3061295,3828,3049.780029296875
1592201796.2397041,3839,2726.51611328125
1592201796.5987833,3841,3046.58642578125
1592201802.7872937,3847,2925.72216796875
