Wall time,Step,Value
1591216064.607593,257,19245.88671875
1591216065.229504,260,17933.958984375
1591216072.8598769,286,19517.12890625
1591216079.719474,309,19917.37109375
1591216098.247061,373,16052.69921875
1591216101.0074322,382,17318.361328125
1591216119.3594956,444,17121.984375
1591216120.3639736,449,17363.453125
1591216126.875845,470,19829.919921875
1591216131.9060187,488,23251.912109375
1591216141.6153374,523,19059.01171875
1591216142.175768,525,16503.796875
1591216144.455908,533,19420.3125
1591216174.2880323,636,20098.97265625
1591216186.1105256,675,18961.984375
1591216189.5361226,689,18945.50390625
1591216207.787389,751,17929.796875
1591216220.6030245,794,15758.18359375
1591216222.4276035,801,19931.697265625
1591216235.5656018,849,17311.75390625
1591216239.1879253,862,18559.64453125
1591216246.220428,886,18656.748046875
1591216258.5090551,929,16955.5625
1591216260.8389459,937,20241.05078125
1591216275.081343,986,18566.650390625
1591216279.7046285,1000,17437.6015625
1591216284.9957073,1017,14475.794921875
1591216286.661186,1023,17650.27734375
1591216295.3549824,1051,18483.0546875
1591216329.7352676,1160,12850.3046875
1591216337.2208698,1186,17090.353515625
1591216350.4771113,1229,19129.70703125
1591216366.5402365,1281,14146.494140625
1591216377.542481,1319,17612.58984375
1591216402.113518,1395,17903.5
1591216426.435487,1476,15626.376953125
1591216442.9561894,1531,16064.5556640625
1591216443.8980534,1534,15046.95703125
1591216448.5252736,1548,18362.048828125
1591216449.8173738,1552,15602.509765625
1591216464.97021,1600,16614.6640625
1591216467.4601674,1607,15059.50390625
1591216481.039186,1651,12163.1767578125
1591216489.505231,1681,12264.0078125
1591216508.0949566,1738,18059.951171875
1591216518.4353523,1767,18232.1484375
1591216522.7358296,1783,16198.6279296875
1591216528.1218925,1799,16027.833984375
1591216544.5068538,1855,16193.033203125
1591216560.5086818,1906,16791.544921875
1591216565.6431994,1924,14225.8642578125
1591216568.5891562,1933,12975.130859375
1591216574.0938163,1949,16318.42578125
1591216575.0912824,1952,15206.654296875
1591216588.8797367,1996,13020.978515625
1591216609.1618354,2059,12468.22265625
1591216616.3607976,2081,15171.2197265625
1591216617.1081164,2084,14654.96875
1591216619.9498327,2092,13246.43359375
1591216633.435873,2132,16011.4072265625
1591216639.0774174,2149,12976.96875
1591216643.0501328,2162,13299.1259765625
1591216671.730456,2251,12697.685546875
1591216691.5481274,2311,15058.197265625
1591216723.6806443,2402,13488.3857421875
1591216727.29985,2414,9728.12890625
1591216736.9488,2446,14891.587890625
1591216738.7097588,2452,14588.2265625
1591216745.4973884,2472,14268.9775390625
1591216747.0626957,2477,13166.30859375
1591216759.9866395,2522,12219.158203125
1591216764.19345,2534,13745.263671875
1591216776.6642673,2569,11981.908203125
1591216787.0651915,2604,16823.61328125
1591216787.5179865,2605,14819.1572265625
1591216802.9091425,2651,13312.859375
1591216809.3682628,2668,11563.443359375
1591216809.9942713,2670,14984.2939453125
1591216811.801785,2675,12742.34375
1591216820.027307,2700,10551.64453125
1591216820.3085544,2701,12000.2607421875
1591216823.821992,2713,16142.7275390625
1591216825.426216,2718,13737.56640625
1591216835.966013,2747,13377.62109375
1591216841.0149977,2762,11629.98828125
1591216842.9258876,2768,14573.3056640625
1591216886.7765632,2900,15415.0546875
1591216905.0542264,2955,14841.603515625
1591216920.055873,3004,11700.421875
1591216954.3411584,3111,13144.4296875
1591216980.53448,3182,13730.7490234375
1591217003.6025078,3253,12090.4921875
1591217004.894991,3256,8912.4755859375
1591217024.4235659,3314,8716.8486328125
1591217045.2570739,3376,11999.2236328125
1591217069.28166,3445,10477.470703125
1591217073.965962,3459,13482.328125
1591217074.550398,3461,12415.5966796875
1591217074.6571133,3462,7627.314453125
