Wall time,Step,Value
1590716981.649672,257,13329.54296875
1590716982.2508163,260,12411.029296875
1590716988.7598917,286,12451.84375
1590716995.1901348,309,13911.1708984375
1590717014.4099407,373,12205.9658203125
1590717016.9862134,382,12964.4580078125
1590717034.882856,444,13300.6376953125
1590717036.1794498,449,12859.068359375
1590717042.103786,470,12841.12890625
1590717047.310681,488,13498.2314453125
1590717056.7101226,523,13484.3984375
1590717057.4300334,525,11865.04296875
1590717059.9930682,533,11846.0595703125
1590717088.8416054,636,11389.39453125
1590717099.8272977,675,12201.7470703125
1590717103.6420767,689,13855.095703125
1590717121.2037578,751,13123.4111328125
1590717134.699979,794,13359.4609375
1590717136.6818707,801,13210.419921875
1590717151.2527003,849,13205.2978515625
1590717155.7419362,862,11556.7177734375
1590717161.8757768,886,13386.4228515625
1590717174.244739,929,13185.517578125
1590717176.6379051,937,12548.5087890625
1590717191.9523547,986,10598.49609375
1590717196.6745512,1000,10009.029296875
1590717201.2287703,1017,15323.0439453125
1590717203.846569,1023,11047.12890625
1590717212.57592,1051,10737.11328125
1590717247.427577,1160,10900.9443359375
1590717254.7183018,1186,12282.30078125
1590717267.9654644,1229,11955.93359375
1590717283.9541192,1281,11238.380859375
1590717296.8853233,1319,10008.5869140625
1590717320.0275776,1395,10229.5146484375
1590717344.656157,1476,10870.8583984375
1590717363.7506652,1531,11737.95703125
1590717364.785808,1534,12171.94140625
1590717370.1409304,1548,10124.763671875
1590717371.2136774,1552,10651.81640625
1590717386.714463,1600,11334.099609375
1590717389.1330588,1607,10191.84765625
1590717403.9219391,1651,10594.5751953125
1590717414.0695112,1681,12065.5
1590717432.7758796,1738,11897.1328125
1590717442.792395,1767,12026.302734375
1590717447.376804,1783,10717.89453125
1590717452.822441,1799,9137.2685546875
1590717470.3472123,1855,9038.0234375
1590717487.2833006,1906,9764.876953125
1590717493.3528779,1924,11983.6875
1590717496.540819,1933,10648.658203125
1590717501.4752843,1949,10150.392578125
1590717502.8670533,1952,11199.6484375
1590717519.0622551,1996,10272.38671875
1590717539.5387087,2059,7860.84423828125
1590717546.9232702,2081,10453.6962890625
1590717548.1623273,2084,11835.654296875
1590717551.3533893,2092,8561.154296875
1590717565.6962073,2132,10541.185546875
1590717571.6841886,2149,8449.451171875
1590717576.0547025,2162,9150.82421875
1590717607.3684373,2251,8276.6171875
1590717628.892738,2311,8651.5703125
1590717660.2611353,2402,8326.60546875
1590717664.251269,2414,9497.556640625
1590717675.584043,2446,7937.5732421875
1590717677.4839742,2452,9865.986328125
1590717684.5135903,2472,9060.994140625
1590717686.258939,2477,7985.490234375
1590717701.2572443,2522,9480.4140625
1590717704.631632,2534,9662.876953125
1590717717.21428,2569,9677.947265625
1590717730.0761578,2604,7659.53271484375
1590717730.3021646,2605,9125.23046875
1590717747.0772533,2651,9618.77734375
1590717752.6222506,2668,7812.7998046875
1590717753.130925,2670,8413.4384765625
1590717754.9161458,2675,9169.533203125
1590717763.4541802,2700,7900.8779296875
1590717763.8501136,2701,7714.63671875
1590717768.1595604,2713,8643.984375
1590717769.9089768,2718,8761.255859375
1590717780.2643588,2747,7459.8818359375
1590717785.6163106,2762,8329.2998046875
1590717787.714195,2768,7463.728515625
1590717832.351556,2900,9254.5830078125
1590717852.9132984,2955,7487.7158203125
1590717869.6298382,3004,7627.099609375
1590717907.2301254,3111,10785.7763671875
1590717933.3177412,3182,8806.1689453125
1590717957.7050626,3253,7692.900390625
1590717958.6647613,3256,9256.0859375
1590717978.4526174,3314,7203.2001953125
1590718001.1567163,3376,6333.4365234375
1590718027.3386343,3445,8066.56787109375
1590718032.6487205,3459,7887.5078125
1590718033.3880708,3461,9590.6630859375
1590718033.7720006,3462,6630.001953125
1590718055.5941477,3520,6573.2451171875
1590718120.2215378,3695,6978.6220703125
1590718166.0229392,3815,5905.01953125
1590718172.2665253,3833,8239.6572265625
1590718173.074364,3835,5657.32421875
1590718192.4712043,3885,8671.7451171875
1590718216.173544,3956,5272.15087890625
1590718236.7169588,4008,6073.74853515625
1590718244.8768256,4029,5715.43994140625
1590718247.326101,4036,6213.22802734375
1590718285.3106427,4143,7240.35693359375
1590718295.6731112,4171,5680.203125
1590718307.0975907,4199,5774.19775390625
1590718327.9819934,4251,6195.01318359375
1590718352.7127912,4313,6473.490234375
1590718389.7122738,4411,6401.720703125
1590718400.8784971,4442,4269.53515625
1590718402.9651585,4447,4745.462890625
1590718435.9915826,4532,5367.5087890625
1590718436.616831,4534,5750.99755859375
1590718466.2209466,4615,6506.947265625
1590718500.672817,4707,5346.04296875
1590718507.3660796,4724,6399.330078125
1590718515.3667397,4745,4006.86669921875
1590718554.1794713,4843,4870.3583984375
1590718568.1622784,4879,4733.45263671875
1590718569.5267665,4883,5531.408203125
1590718572.3984244,4891,6254.724609375
1590718617.0826395,5003,4738.703125
1590718622.749334,5017,4047.36962890625
1590718637.663703,5055,4741.8544921875
1590718643.0292892,5067,5435.705078125
1590718660.4859595,5109,7497.87255859375
1590718687.6724756,5177,4064.619140625
1590718690.9571073,5186,4200.3291015625
1590718692.1921575,5189,3875.45361328125
1590718722.4110925,5265,7364.474609375
1590718723.035424,5267,4646.6904296875
1590718744.1916552,5321,5660.484375
1590718753.9370027,5349,5005.6796875
1590718792.100513,5454,4982.26806640625
1590718827.049183,5544,6194.3173828125
1590718833.066679,5560,5661.7548828125
1590718838.7501166,5574,5548.154296875
1590718863.088396,5635,3695.371337890625
1590718900.0351715,5732,6278.11328125
1590718912.0111358,5764,6099.1650390625
1590718958.829766,5879,3453.5380859375
1590718964.881113,5894,4313.859375
1590718982.400094,5938,5054.5029296875
1590719014.6734755,6023,4695.580078125
1590719021.2314806,6040,5199.1943359375
1590719022.0856738,6043,5032.05517578125
1590719036.5803814,6079,4129.02685546875
1590719039.5325367,6086,4452.060546875
1590719053.8206177,6122,4394.646484375
1590719061.6595812,6143,4750.44873046875
1590719087.3125026,6205,4445.63232421875
1590719095.1280339,6225,3904.5546875
1590719137.430429,6336,4161.6904296875
1590719141.3442194,6346,3950.8837890625
1590719167.2209363,6415,4402.88818359375
1590719172.6068814,6428,3053.31884765625
1590719174.5962505,6434,3565.937255859375
1590719179.6366603,6447,4152.7666015625
1590719203.8319519,6504,3588.189453125
1590719213.5325212,6527,3605.213134765625
1590719214.8954875,6532,3591.58154296875
1590719240.034984,6591,3853.15234375
1590719299.620331,6735,4173.58544921875
1590719321.7557542,6789,4005.76416015625
1590719333.288625,6818,4499.091796875
1590719354.8618166,6872,4196.48046875
1590719370.6859493,6911,4564.0517578125
1590719371.9067862,6914,3992.419189453125
1590719376.4360528,6926,4608.109375
1590719388.7001302,6957,4517.359375
1590719430.5581503,7061,3228.97802734375
1590719433.4979498,7069,3701.0595703125
1590719439.4775054,7084,4263.3095703125
1590719477.6385124,7181,2619.69873046875
1590719487.7523472,7207,3835.494140625
1590719496.625798,7229,4793.59423828125
1590719534.9979367,7321,3859.91796875
1590719538.4631908,7329,3505.593505859375
1590719555.1195211,7370,4635.26513671875
1590719592.746726,7462,3750.84912109375
1590719619.3117566,7526,2914.97412109375
1590719631.27868,7554,3684.783447265625
1590719631.8252182,7555,2788.4619140625
1590719640.3149178,7574,3488.409423828125
1590719648.6507185,7597,2610.854248046875
1590719656.497899,7616,4325.16845703125
1590719677.2920291,7665,3130.958740234375
1590719681.5969472,7675,3187.77685546875
1590719682.8486137,7678,2869.513916015625
1590719689.0036142,7693,3371.09912109375
1590719702.8007905,7726,3971.13134765625
1590719774.708409,7902,2443.96826171875
1590719777.1217499,7908,2490.539306640625
1590719802.90517,7975,2491.3037109375
1590719815.1603339,8003,2288.75830078125
1590719819.3053193,8013,2558.091796875
1590719833.940348,8048,2810.19970703125
1590719862.3482885,8115,2147.2890625
1590719875.1649191,8147,2987.14404296875
1590719900.22375,8206,2205.582275390625
1590719914.5641441,8241,2738.29931640625
1590719932.3431084,8281,3295.5361328125
1590719979.472228,8395,2664.064453125
1590719994.667953,8430,2610.17919921875
1590719996.9549005,8436,3348.86962890625
1590720025.665233,8505,3335.375
1590720044.9169385,8549,2780.7109375
1590720057.5594075,8578,2647.38037109375
1590720060.051245,8583,2266.18994140625
1590720063.5168018,8592,3456.5888671875
1590720100.7263873,8682,1972.436279296875
1590720102.1227398,8685,2767.85400390625
1590720113.3138547,8713,2203.7333984375
1590720117.5706384,8723,2991.3486328125
1590720142.5059547,8781,2220.2060546875
1590720157.6109715,8816,2775.5322265625
1590720173.1098335,8850,3087.5146484375
1590720199.3271015,8910,3532.068359375
1590720252.9691782,9034,2062.699951171875
1590720254.3265176,9037,2547.256591796875
1590720278.4854076,9093,3504.47021484375
1590720289.9132748,9119,1955.5235595703125
1590720291.079481,9122,2972.13330078125
1590720299.7844675,9143,2739.980712890625
1590720303.2569494,9150,2928.19189453125
1590720327.565725,9208,2266.194091796875
1590720330.300835,9214,2599.72119140625
1590720354.4567657,9270,2345.76904296875
1590720427.9674108,9441,2883.823974609375
1590720431.1896737,9448,3226.05908203125
1590720442.5904653,9475,2886.46533203125
1590720465.8083062,9531,2580.460205078125
1590720478.266561,9563,2332.76513671875
1590720506.9390748,9627,2109.191650390625
1590720508.4169943,9630,2382.791259765625
1590720516.646048,9650,3710.7724609375
1590720530.7060819,9683,2335.13134765625
1590720562.7303705,9762,2502.401611328125
1590720565.724236,9769,2281.04443359375
1590720571.2044787,9782,2225.890380859375
1590720597.8686073,9842,2527.70556640625
1590720610.3984416,9872,2613.0087890625
1590720620.5974536,9895,1964.828857421875
1590720628.7958474,9913,2396.2548828125
1590720658.9752316,9983,1692.3896484375
1590720691.573434,10058,2279.80810546875
1590720718.497337,10122,2390.476318359375
1590720785.1013463,10273,2342.284423828125
1590720796.110348,10299,2673.5224609375
1590720833.8793406,10383,2254.306640625
1590720881.7825825,10491,2707.564453125
1590720884.922059,10498,2150.767333984375
1590720935.02553,10611,2396.4228515625
1590720936.2312372,10614,2124.38134765625
1590720945.3523226,10635,2190.2373046875
1590720971.4439557,10694,2959.92919921875
1590720975.9901886,10704,2302.2001953125
1590720991.2481534,10737,2573.1201171875
1590721029.9506772,10822,2476.293212890625
1590721037.8927755,10839,1920.9686279296875
1590721043.5164828,10853,2489.1826171875
1590721050.5149314,10869,2406.1748046875
1590721058.2136304,10886,2448.899658203125
1590721075.5703895,10926,2302.973876953125
1590721096.0240583,10972,2429.37939453125
1590721096.4743333,10973,2431.81689453125
1590721106.6675236,10995,2504.511962890625
1590721122.1798835,11030,2613.492919921875
1590721133.6131196,11056,2122.58251953125
1590721137.5789783,11065,2775.3896484375
1590721161.270446,11117,2438.382080078125
1590721162.613564,11120,1724.2791748046875
1590721177.55766,11154,1759.1846923828125
1590721179.2792034,11158,1946.927978515625
1590721190.3080337,11181,2031.018310546875
1590721192.8173807,11187,2081.09130859375
1590721193.7920897,11189,2089.913330078125
1590721211.937269,11229,2221.80078125
1590721214.1833267,11235,2237.2216796875
1590721220.106598,11248,1986.0548095703125
1590721222.632853,11253,1835.779541015625
1590721251.1329157,11317,2850.71142578125
1590721259.4190304,11336,2305.48828125
1590721263.790202,11345,2188.76171875
1590721293.6535196,11413,1544.939208984375
1590721294.4674258,11415,1777.2713623046875
1590721294.9172254,11416,1947.1435546875
1590721322.194229,11475,2197.436767578125
1590721394.8971872,11634,1682.97900390625
1590721417.9384704,11687,1798.874755859375
1590721427.0648673,11707,1977.38037109375
1590721441.561114,11738,2342.66845703125
1590721445.9849267,11747,1624.3924560546875
1590721453.488533,11764,1882.5736083984375
1590721461.354644,11781,1725.376953125
1590721475.2885792,11812,1511.9832763671875
1590721498.696228,11863,2090.316162109375
1590721508.8036768,11886,1321.0306396484375
1590721514.8751879,11900,1899.5758056640625
1590721548.1721413,11974,1829.426025390625
1590721599.0114965,12088,2239.17041015625
1590721641.531187,12184,2132.85888671875
1590721643.8298733,12189,1664.4755859375
1590721660.1421478,12225,1998.91064453125
1590721674.5151362,12256,1261.68359375
1590721718.360142,12353,2561.046875
1590721730.3107965,12379,1994.1044921875
1590721732.315264,12383,1940.136474609375
1590721739.997838,12399,2000.13525390625
1590721759.305141,12441,1971.411865234375
1590721787.590503,12505,1840.7415771484375
1590721788.7935863,12508,2350.257080078125
1590721796.4414768,12524,1630.553466796875
1590721839.9261906,12620,1783.3392333984375
1590721863.0630195,12673,1537.97412109375
1590721905.4636004,12768,2324.8916015625
1590721957.7340534,12886,1942.6163330078125
1590721969.625806,12914,1775.854248046875
1590721996.3103817,12973,2552.342529296875
1590722015.9478784,13020,2457.841796875
1590722049.0759091,13092,2226.26708984375
1590722056.5962272,13111,2490.2021484375
1590722076.3332598,13154,1910.271240234375
1590722110.6905859,13232,2468.087890625
1590722118.7397742,13249,2283.087158203125
1590722130.605791,13276,2157.97265625
1590722139.6794775,13297,1420.6103515625
1590722145.3517575,13309,2244.973388671875
1590722152.0209782,13324,2895.916015625
1590722153.7775648,13328,1965.728759765625
1590722161.5294297,13345,2513.777099609375
1590722178.5838284,13381,2082.607421875
1590722196.9506526,13421,2075.2685546875
1590722212.1242714,13454,2015.58056640625
1590722261.7615945,13564,2393.16357421875
1590722285.4625902,13617,2586.23876953125
1590722287.3074868,13621,2302.888671875
1590722296.4268358,13641,2328.99560546875
1590722317.2080777,13690,2505.65576171875
1590722330.7624757,13719,2041.440185546875
1590722349.7280066,13761,1869.50732421875
1590722372.164061,13812,2118.3349609375
1590722382.5049944,13835,1691.518310546875
1590722409.7184622,13894,1679.2119140625
1590722411.2735412,13897,1730.1180419921875
1590722440.5953746,13962,1856.93994140625
1590722453.7072098,13991,1690.5274658203125
1590722469.2516084,14025,1285.9892578125
1590722484.9843338,14060,1995.621337890625
1590722502.4936652,14099,1899.7569580078125
1590722535.7193265,14172,2009.55615234375
1590722544.4596915,14191,1407.20068359375
1590722554.382651,14213,1567.140625
1590722591.4695616,14295,1448.000244140625
1590722654.942776,14436,1846.4404296875
1590722683.794327,14502,1485.89208984375
1590722686.7855132,14509,2077.20458984375
1590722690.9661863,14518,1537.0438232421875
1590722698.396043,14535,1590.21630859375
1590722704.140676,14547,1654.63330078125
1590722706.8546903,14553,2007.6810302734375
1590722734.1824563,14612,1940.548095703125
1590722756.8556032,14662,1725.7880859375
1590722778.4852045,14709,1423.622802734375
1590722793.9001372,14745,1592.31005859375
1590722804.68565,14769,1956.5899658203125
1590722806.1025407,14772,2366.787841796875
1590722839.2972257,14847,2090.02587890625
1590722842.012125,14853,1790.767578125
1590722855.0169404,14883,2008.65966796875
1590722858.5254993,14892,1412.7813720703125
1590722860.000057,14896,1510.310791015625
1590722862.4594972,14902,1719.29443359375
1590722904.0363717,14994,1902.7020263671875
1590722904.6105847,14995,2032.27587890625
1590722908.694715,15003,1258.236572265625
1590722910.3528464,15007,1637.27587890625
1590722918.1140978,15024,2003.74755859375
1590722947.4706779,15088,1878.9349365234375
1590722955.8993382,15107,1838.030517578125
1590722970.612158,15141,1401.175048828125
1590723015.3538134,15242,1960.6138916015625
1590723044.5771658,15305,1515.8131103515625
1590723066.368278,15351,1706.865234375
1590723086.4233804,15395,1746.06201171875
1590723094.19298,15414,1980.04345703125
1590723124.616076,15481,2415.21044921875
1590723148.8681326,15539,1642.258544921875
1590723158.9696958,15562,1808.070068359375
1590723215.609931,15688,1675.439453125
1590723216.4683366,15690,1568.5703125
1590723229.963093,15722,1781.976806640625
1590723242.5758078,15753,1887.7314453125
1590723267.3434656,15812,1311.9912109375
1590723330.1800485,15955,2089.647216796875
1590723341.0479496,15979,1936.291015625
1590723344.9435034,15988,2340.8623046875
1590723365.542094,16040,2070.397216796875
1590723366.7541916,16043,2074.612060546875
1590723429.5559082,16194,2011.9862060546875
1590723435.1111448,16208,1740.462890625
1590723476.9487035,16310,2817.48876953125
1590723485.3450084,16331,2640.0712890625
1590723541.4733677,16464,2671.00244140625
1590723573.3027878,16536,2499.162841796875
1590723582.4748418,16558,3203.985595703125
1590723590.2011287,16575,1935.0914306640625
1590723610.465358,16621,2029.8018798828125
1590723625.3774917,16655,1995.442138671875
1590723654.595114,16720,1790.9366455078125
1590723678.2876616,16774,2383.62744140625
1590723690.5137722,16800,2215.780029296875
1590723692.73807,16805,3179.75390625
1590723724.6797316,16876,2658.55810546875
1590723740.2840576,16912,2805.6669921875
1590723762.5484734,16961,2281.3486328125
1590723790.4623895,17023,1698.52197265625
1590723790.8403747,17024,2586.736328125
1590723804.7049897,17058,2502.888427734375
1590723810.5199745,17072,2414.201904296875
1590723827.9213812,17114,1928.3048095703125
1590723900.5299182,17281,1462.7425537109375
1590723914.7743316,17312,1774.494873046875
1590723930.0580883,17346,1545.1875
1590723961.9304256,17417,1730.676513671875
1590723978.0368974,17454,1565.56787109375
1590723993.496705,17487,1630.697021484375
1590724001.3616529,17505,2099.2626953125
1590724002.2801015,17507,1692.9027099609375
1590724012.8986025,17530,2140.0546875
1590724013.3551815,17531,1669.690673828125
1590724013.8149502,17532,1564.6998291015625
1590724015.1431112,17535,1538.887939453125
1590724024.0671794,17554,2296.6484375
1590724041.3159628,17589,2379.6435546875
1590724055.803216,17620,1725.31494140625
1590724074.4086769,17659,1581.623779296875
1590724079.0687525,17669,1605.802001953125
1590724119.5841887,17758,2070.627197265625
1590724125.430648,17772,1458.15576171875
1590724137.9657938,17801,1359.27197265625
1590724141.0506654,17808,1875.401611328125
1590724141.5030615,17809,1703.4921875
1590724153.6071093,17838,1850.838623046875
1590724167.14806,17868,1745.1961669921875
1590724197.3884296,17937,1380.926025390625
1590724219.4894614,17986,1781.5975341796875
1590724234.2652829,18019,1718.647705078125
1590724251.1732779,18057,1472.051513671875
1590724301.4954352,18168,1453.0679931640625
1590724312.8805645,18193,1782.923095703125
1590724314.0141585,18196,2102.208984375
1590724317.9109778,18205,1205.2998046875
1590724330.5923917,18233,1331.21484375
1590724345.4899054,18268,1678.516845703125
1590724350.8380365,18280,1458.3463134765625
1590724376.9901376,18344,1699.65478515625
1590724383.7682197,18361,1361.798095703125
1590724413.370753,18429,1962.050537109375
1590724422.884658,18451,1465.134033203125
1590724435.682151,18479,1898.106689453125
1590724460.4053428,18533,1797.5826416015625
1590724517.6030052,18666,1918.721435546875
1590724518.0203962,18667,1604.120361328125
1590724558.2467508,18762,1538.14501953125
1590724578.67632,18807,1983.17138671875
1590724633.4114823,18928,2275.457275390625
1590724636.3338084,18935,1934.677978515625
1590724692.6759052,19060,1940.741455078125
1590724714.6346817,19108,1897.2049560546875
1590724743.4017665,19173,2906.84912109375
1590724751.7340324,19192,1967.0777587890625
1590724765.1718185,19220,1599.584228515625
1590724774.8231273,19242,1249.351806640625
1590724784.5187025,19263,1507.91796875
1590724814.4564211,19331,1503.79150390625
1590724837.348303,19384,1627.212646484375
1590724864.2514536,19442,1901.419677734375
1590724883.4690025,19486,1934.6768798828125
1590724896.293944,19515,2394.97607421875
1590724977.7682116,19700,1679.425537109375
1590724984.3511412,19715,1560.2891845703125
1590724985.8351808,19718,2220.6875
1590724996.0690231,19740,1318.858154296875
1590724998.7284105,19746,1723.13037109375
1590725018.878598,19794,2365.14111328125
1590725025.2621706,19809,1582.145263671875
1590725045.5779717,19855,2289.80322265625
1590725051.5468845,19869,2284.60205078125
1590725056.8444142,19880,2112.6923828125
1590725081.4945831,19935,1761.1907958984375
1590725086.4342039,19946,1811.1895751953125
1590725089.1971493,19952,2161.021484375
1590725115.5645733,20011,1501.13671875
1590725127.1989813,20038,1386.9822998046875
1590725137.3224273,20061,1781.886474609375
1590725169.0189416,20131,1279.325439453125
1590725178.9773562,20153,1876.70263671875
1590725193.5824091,20186,1941.1767578125
1590725201.3853898,20203,2488.69580078125
1590725204.6184022,20210,1599.1981201171875
1590725222.2182748,20250,1305.892822265625
1590725230.2621343,20268,2101.41552734375
1590725233.1793532,20274,1677.375244140625
1590725234.361553,20277,1950.939453125
1590725268.5450358,20353,1865.631103515625
1590725269.055125,20354,1582.780029296875
1590725269.9780009,20356,2118.671142578125
1590725289.6821175,20401,1534.8704833984375
1590725303.663403,20432,1800.2557373046875
1590725316.1954043,20459,1677.5665283203125
1590725317.6120343,20462,1921.93994140625
1590725319.7732563,20467,1762.118408203125
1590725343.0020754,20523,2087.496826171875
1590725348.7486284,20538,1772.93701171875
1590725352.200358,20547,1701.9857177734375
1590725352.941646,20549,1984.3134765625
1590725372.117493,20598,1907.05712890625
1590725396.6286263,20655,2050.34033203125
1590725416.054364,20700,1995.7796630859375
1590725434.1725674,20741,1910.1385498046875
1590725439.9732182,20754,1981.501220703125
1590725440.425824,20755,2189.71826171875
1590725450.205369,20777,1870.07568359375
1590725452.4052503,20782,2102.143798828125
1590725457.76345,20793,1725.310791015625
1590725507.124076,20904,1503.9234619140625
1590725516.4824243,20925,1845.55517578125
1590725548.066169,20994,2425.420166015625
1590725549.2540102,20997,1990.1702880859375
1590725549.6888547,20998,1754.869140625
1590725572.3366392,21046,1439.817626953125
1590725583.486876,21070,1641.6610107421875
1590725611.0346665,21128,1616.285400390625
1590725645.2984047,21202,1890.7769775390625
1590725662.9361198,21242,1633.839111328125
1590725666.613426,21250,2269.7861328125
1590725681.0768363,21282,1826.0338134765625
1590725687.3060544,21295,1681.4156494140625
1590725715.4782481,21359,1410.7427978515625
1590725745.7194612,21424,2215.25048828125
1590725756.2786493,21447,2542.396728515625
1590725794.5665736,21531,1496.83251953125
1590725796.201092,21534,1921.781005859375
1590725798.5646062,21539,1879.89208984375
1590725828.496824,21606,2128.041259765625
1590725836.5030978,21624,1778.8641357421875
1590725870.5561748,21699,1434.956787109375
1590725888.394994,21738,1615.50927734375
1590725888.849774,21739,1659.795654296875
1590725960.8190198,21896,1745.9423828125
1590725979.9379015,21938,1784.018310546875
1590725980.3315463,21939,1389.848388671875
1590726009.4918087,22004,1792.661376953125
1590726011.2150602,22010,1809.286376953125
1590726023.2933369,22036,2228.864013671875
1590726032.4885898,22057,1770.970458984375
1590726035.1908846,22063,1390.615966796875
1590726062.8456156,22123,1583.381591796875
1590726088.257774,22182,1886.9110107421875
1590726103.6319332,22214,1600.07470703125
1590726106.52332,22221,1472.52490234375
1590726200.6599553,22435,1920.05859375
1590726212.381069,22460,1642.610107421875
1590726218.478568,22473,2125.611328125
1590726230.387062,22500,2670.29736328125
1590726233.546537,22507,2004.082763671875
1590726241.1109517,22523,1845.44921875
1590726244.5673554,22531,2046.1697998046875
1590726250.3320315,22545,2211.363037109375
1590726263.168295,22573,1887.702392578125
