Step,Value
1,-38.3710907901823
50,-34.073866227747516
100,-34.40055569123429
150,-34.36622520407614
200,-34.83808810146596
250,-33.61464015819619
300,-34.09673193736984
350,-33.53253019076805
400,-34.25597869153555
450,-34.09559370705463
500,-34.07632134356149
550,-34.44055884107952
600,-34.94905197629347
650,-34.270001134838274
700,-34.2845893283122
750,-34.54772024743249
800,-34.84502014902942
850,-32.92353375332174
900,-33.91001755113552
950,-34.55486852929689
1000,-34.125793892957795
1050,-34.66445358426638
1100,-34.24796246656572
1150,-34.637380274102924
1200,-35.23510862019578
1250,-34.2181287420714
1300,-33.03813227162418
1350,-33.68721932251009
1400,-34.191825421762466
1450,-33.976519987153296
1500,-34.338532112520426
1550,-34.787751456924425
1600,-34.14929229280825
1650,-33.61309494553496
1700,-34.28187437019051
1750,-34.6176813039495
1800,-34.80823946181558
1850,-34.64558835178448
1900,-33.475278748109716
1950,-34.750533527112246
2000,-34.72892074348586
2050,-34.358654449706435
2100,-34.86863792958704
2150,-34.496195265305616
2200,-33.407122639090545
2250,-34.676774567444205
2300,-34.106230795041284
2350,-34.92284536814132
2400,-34.346540072070084
2450,-34.60878525764811
2500,-34.1460661476193
2550,-34.419879308076155
2600,-34.41426335538127
2650,-33.63323322381803
2700,-33.905461023290734
2750,-34.4384094624513
2800,-34.28346065539958
2850,-34.17608217515219
2900,-34.74132976890316
2950,-34.278032839118296
3000,-32.62859784205834
3050,-34.37121928755648
3100,-33.39125783840539
3150,-34.39718902686263
3200,-34.18912711771563
3250,-35.4419099811134
3300,-34.138380231417955
3350,-33.890378995825316
3400,-33.94060555334008
3450,-33.18722454409797
3500,-34.56833967895367
3550,-34.59442982193113
3600,-33.78199273507109
3650,-34.02267876263189
3700,-33.26412062775364
3750,-34.26394323406814
3800,-33.37864266879271
3850,-33.87876357912646
3900,-33.816858498357945
3950,-33.612801387229496
4000,-34.68896343102708
4050,-33.81559770779895
4100,-34.00353189381686
4150,-34.102872679477066
4200,-34.97458099140837
4250,-34.410385206316725
4300,-34.30489589726677
4350,-33.891004226113544
4400,-35.18108800828666
4450,-32.72216932383004
4500,-34.510511576904804
4550,-34.01527180833343
4600,-34.325008963224676
4650,-33.67105637787535
4700,-34.65138808790695
4750,-34.27825859287121
4800,-34.583707232156364
4850,-33.683406824432936
4900,-34.8440269034991
4950,-34.93010084578011
5000,-34.38060087643104
5050,-33.91720852326951
5100,-33.98637089000568
5150,-32.93760956597217
5200,-34.00620113257464
5250,-34.364694821153414
5300,-34.55701129841495
5350,-33.207263929767805
5400,-33.462940764091584
5450,-34.90514932807925
5500,-33.83522466667283
5550,-34.4140165669285
5600,-34.48796059539974
5650,-34.63119736363648
5700,-34.45403927345802
5750,-34.041560552622286
5800,-35.03234432972902
5850,-34.602452922351816
5900,-34.22953726387625
5950,-35.53850664199271
6000,-33.820863228282555
6050,-34.76897396241709
6100,-35.37205987946216
6150,-34.06056693869764
6200,-33.08900355012156
6250,-34.11903383932656
6300,-35.31195380227866
6350,-33.648633928067824
6400,-34.10875134819787
6450,-34.09236938402386
6500,-34.74948374199257
6550,-35.37460567768218
6600,-33.34842387210726
6650,-33.8256592270814
6700,-35.173188831596484
6750,-34.06828202220464
6800,-33.911486481784216
6850,-34.49116573703079
6900,-33.98573098521455
6950,-34.263461690047954
7000,-33.67360623991242
7050,-34.17039924365465
7100,-33.65928901597527
7150,-35.48384307929432
7200,-33.05381862567208
7250,-34.47719259179749
7300,-33.55208813954096
7350,-33.94374865044673
7400,-35.01877822575797
7450,-34.240145837845205
7500,-34.98991385231579
7550,-33.714007127262576
7600,-33.71399755766213
7650,-34.1803979369575
7700,-33.681977898555424
7750,-34.343867527069385
7800,-34.03268757244345
7850,-33.72273881340616
7900,-34.802516582793594
7950,-33.806571550895455
8000,-34.67192875856257
8050,-34.41956398607809
8100,-34.03799983572999
8150,-34.37095574179048
8200,-33.51341011264137
8250,-34.0647753482293
8300,-35.15485465243935
8350,-34.05137287906492
8400,-34.3761552020028
8450,-33.90821128325382
8500,-34.08241662383544
8550,-34.279544216167544
8600,-33.488564432261086
8650,-34.08433132972629
8700,-33.868489929364294
8750,-34.8794131558061
8800,-34.504139147724565
8850,-34.60700026143255
8900,-34.47203696709416
8950,-34.58700739590702
9000,-34.20057290314767
9050,-34.1220680010813
9100,-34.390769810157636
9150,-32.406149995616126
9200,-34.36606202144691
9250,-34.23097950834981
9300,-34.78489695146711
9350,-34.06246967745404
9400,-34.17197740436315
9450,-33.68759017520837
9500,-34.440295612424286
9550,-34.3523724261107
9600,-33.87602605130373
9650,-33.881281466694396
9700,-33.48588978660903
9750,-34.268495260504636
9800,-34.8942809006897
9850,-33.96735725934829
9900,-33.510397115874134
9950,-34.72930698541064
10000,-34.86301616234637
