Wall time,Step,Value
1592199349.8336604,1,-499.1598205566406
1592199349.849645,50,-187.90245056152344
1592199349.9374173,100,-197.3286895751953
1592199349.9593441,150,-167.3291473388672
1592199349.979271,200,-177.4935760498047
1592199354.0643897,250,-167.163818359375
1592199378.9395776,300,-167.61007690429688
1592199402.6031675,350,-157.85189819335938
1592199427.3155735,400,-217.68240356445312
1592199457.1627283,450,-226.94102478027344
1592199485.5414162,500,-197.12100219726562
1592199512.5670598,550,-97.1385498046875
1592199540.8582885,600,-147.3990478515625
1592199569.5818365,650,-116.8890151977539
1592199595.4546647,700,-187.52655029296875
1592199627.3450387,750,-136.6044158935547
1592199659.1834307,800,-166.45867919921875
1592199689.5079536,850,-176.7487030029297
1592199715.7814424,900,-167.459716796875
1592199741.8088894,950,-187.4580535888672
1592199772.6830757,1000,-136.7675018310547
1592199800.9925737,1050,-187.1676788330078
1592199828.3024783,1100,-177.1769561767578
1592199854.2330143,1150,-137.39736938476562
1592199884.6864543,1200,-146.69729614257812
1592199915.8689857,1250,-156.57931518554688
1592199944.0780036,1300,-197.0467529296875
1592199973.5582917,1350,-146.91085815429688
1592200002.4255266,1400,-127.05567932128906
1592200030.748695,1450,-156.93087768554688
1592200065.885193,1500,-166.1726531982422
1592200097.806453,1550,-186.43228149414062
1592200135.3367631,1600,-135.6249542236328
1592200170.0998538,1650,-136.14987182617188
1592200205.5289013,1700,-146.10231018066406
1592200238.2515433,1750,-186.51612854003906
1592200273.218354,1800,-145.86204528808594
1592200309.0143783,1850,-136.00131225585938
1592200341.109741,1900,-156.24777221679688
1592200374.284896,1950,-196.22825622558594
1592200406.756734,2000,-196.4669189453125
1592200447.78845,2050,-165.32669067382812
1592200487.4347496,2100,-115.3014907836914
1592200526.141176,2150,-135.61886596679688
1592200563.5893362,2200,-105.68254852294922
1592200598.2338943,2250,-156.0740509033203
1592200634.5789921,2300,-165.68064880371094
1592200672.7465453,2350,-145.363037109375
1592200713.6687448,2400,-115.23585510253906
1592200741.2067711,2450,-167.076171875
1592200778.421295,2500,-105.72998809814453
1592200815.4893384,2550,-75.68959045410156
1592200857.2468972,2600,-134.8990478515625
1592200893.7437563,2650,-115.77110290527344
1592200929.9090166,2700,-105.92635345458984
1592200971.564675,2750,-165.09019470214844
1592201009.6732097,2800,-115.49347686767578
1592201053.535598,2850,-114.74642944335938
1592201088.3765934,2900,-216.15672302246094
1592201127.8951528,2950,-145.40435791015625
1592201161.1023612,3000,-106.07354736328125
1592201196.5673037,3050,-95.77327728271484
1592201232.84575,3100,-145.53662109375
1592201273.61326,3150,-134.99484252929688
1592201312.236362,3200,-125.38388061523438
1592201349.4436822,3250,-135.55203247070312
1592201385.43899,3300,-135.7178955078125
1592201426.194713,3350,-105.00871276855469
1592201457.3835406,3400,-176.40711975097656
1592201495.737465,3450,-165.39187622070312
1592201533.5533533,3500,-105.39493560791016
1592201573.7825844,3550,-215.18528747558594
1592201613.4366183,3600,-145.01353454589844
1592201653.100953,3650,-135.20138549804688
1592201686.7860925,3700,-166.09397888183594
1592201726.0251763,3750,-105.0589370727539
1592201765.5515187,3800,-125.18721008300781
1592201806.4960907,3850,-64.9189453125
1592201844.991083,3900,-145.29644775390625
1592201885.8364816,3950,-114.84549713134766
1592201930.2429504,4000,-64.34542846679688
1592201972.2659564,4050,-104.68836975097656
1592202012.5408838,4100,-104.92476654052734
1592202051.3642154,4150,-75.18891143798828
1592202093.4743736,4200,-154.85540771484375
1592202135.1466558,4250,-84.80891418457031
1592202171.729699,4300,-115.5435791015625
1592202216.9602041,4350,-94.1950912475586
1592202255.7268047,4400,-135.18960571289062
1592202306.1687376,4450,-93.41111755371094
1592202351.0497444,4500,-114.31890106201172
1592202393.1788125,4550,-84.71636962890625
1592202435.994213,4600,-94.64907836914062
1592202485.527961,4650,-83.54306030273438
1592202529.0465932,4700,-94.57406616210938
1592202570.1553705,4750,-144.98611450195312
1592202615.1629457,4800,-124.20954895019531
1592202665.0042782,4850,-43.42140579223633
1592202715.6167574,4900,-43.31703567504883
1592202761.2031715,4950,-113.98733520507812
1592202804.5959077,5000,-94.4325942993164
1592202850.5031698,5050,-104.06488037109375
1592202894.4928207,5100,-124.39588928222656
1592202944.3042197,5150,-103.50603485107422
1592202997.7023294,5200,-92.94364166259766
1592203047.1391287,5250,-93.49281311035156
1592203092.151714,5300,-104.36744689941406
1592203140.0341012,5350,-63.701934814453125
1592203181.3961089,5400,-104.79513549804688
1592203226.1820562,5450,-84.19190216064453
1592203274.57419,5500,-63.65376281738281
1592203324.1236722,5550,-63.58331298828125
1592203373.4167373,5600,-73.45686340332031
1592203421.5843148,5650,-73.56159973144531
1592203469.4914188,5700,-103.67967987060547
1592203515.314024,5750,-74.01177215576172
1592203563.4216063,5800,-73.73814392089844
1592203611.493334,5850,-53.73722457885742
1592203660.7914972,5900,-63.35086441040039
1592203711.3702633,5950,-43.39419174194336
1592203757.0177705,6000,-44.1090202331543
1592203801.595614,6050,-64.33364868164062
1592203851.0518723,6100,-33.39653778076172
1592203901.2393224,6150,-63.40290069580078
1592203952.050893,6200,-53.32530975341797
1592203998.1822221,6250,-104.06122589111328
1592204040.3308256,6300,-84.49597930908203
1592204089.5201945,6350,-83.52342224121094
1592204141.4563723,6400,-43.13166809082031
1592204190.6165533,6450,-73.5765151977539
1592204233.6992357,6500,-34.32208251953125
1592204282.150388,6550,-43.42761993408203
1592204329.186277,6600,-63.80133056640625
1592204382.3075836,6650,-52.86707305908203
1592204426.572941,6700,-64.21656036376953
1592204475.967645,6750,-53.43232727050781
1592204528.8248198,6800,-32.90583038330078
1592204578.2729604,6850,-63.46189880371094
1592204632.5385473,6900,-52.630699157714844
1592204675.7661724,6950,-94.36190795898438
1592204719.3136156,7000,-84.38465118408203
1592204767.5496726,7050,-103.66657257080078
1592204819.344637,7100,-43.00518035888672
1592204871.3475146,7150,-83.10595703125
1592204919.6402757,7200,-103.59089660644531
1592204971.53507,7250,-52.92552947998047
1592205022.772629,7300,-22.939809799194336
1592205067.284994,7350,-44.102622985839844
1592205115.5131457,7400,-83.6827392578125
1592205164.9358294,7450,-63.57838439941406
1592205211.5026977,7500,-73.788818359375
1592205257.721073,7550,-53.759212493896484
1592205308.4582148,7600,-73.36866760253906
1592205360.3800192,7650,-32.940460205078125
1592205412.2604833,7700,-32.84892272949219
1592205459.161191,7750,-23.748279571533203
1592205504.9586391,7800,-83.97855377197266
1592205560.4422166,7850,-22.36783790588379
1592205605.0632665,7900,-64.088623046875
1592205660.558827,7950,-52.44692611694336
1592205713.6406956,8000,-52.74745559692383
1592205765.7754781,8050,-62.822208404541016
1592205815.992299,8100,-53.165794372558594
1592205867.7798812,8150,-42.89887619018555
1592205920.8050494,8200,-42.826229095458984
1592205973.8138072,8250,-12.725475311279297
1592206027.7562404,8300,-82.84162139892578
1592206077.3744383,8350,-53.25251007080078
1592206130.6244807,8400,-32.72175979614258
1592206188.621397,8450,-11.858999252319336
1592206243.1080348,8500,-12.593923568725586
1592206299.8936696,8550,-62.17032241821289
1592206351.7929766,8600,-92.95393371582031
1592206407.3167536,8650,-52.29298782348633
1592206461.570264,8700,-52.57341003417969
1592206511.2199492,8750,-33.1810302734375
1592206567.2932994,8800,-12.291305541992188
1592206619.503943,8850,-42.85999298095703
1592206670.3641396,8900,-73.0936279296875
1592206723.47582,8950,-22.573694229125977
1592206778.4818702,9000,-52.3869514465332
1592206834.5292852,9050,-32.210933685302734
1592206891.3861196,9100,-22.153196334838867
1592206949.4603002,9150,-21.971721649169922
1592207003.7944536,9200,-62.49495315551758
1592207063.6445,9250,-1.6501103639602661
1592207118.643342,9300,-42.534263610839844
1592207174.291126,9350,-62.40312194824219
1592207230.9575937,9400,-22.176008224487305
1592207287.4157612,9450,-32.19866180419922
1592207340.348265,9500,-22.632177352905273
1592207399.420789,9550,-21.659778594970703
1592207453.4594126,9600,-42.50472640991211
1592207510.1993816,9650,-32.20343017578125
1592207566.983583,9700,-12.163719177246094
1592207621.358087,9750,-52.53862762451172
1592207681.7208202,9800,-1.4483317136764526
1592207734.8362308,9850,-42.68824768066406
