Wall time,Step,Value
1591904781.3160186,1,-642.74853515625
1591904781.3649156,50,-1266.4039306640625
1591904781.375858,100,-1129.0123291015625
1591904781.3888233,150,-1235.5814208984375
1591904781.4008248,200,-1294.545654296875
1591904781.4167492,250,-1406.3258056640625
1591904781.42881,300,-920.44287109375
1591904781.4467933,350,-1219.7393798828125
1591904781.4647427,400,-1212.0323486328125
1591904784.2927513,450,-1246.89501953125
1591904789.4913442,500,-1022.128662109375
1591904794.60866,550,-826.3306884765625
1591904800.5856802,600,-1087.6627197265625
1591904805.954368,650,-962.3245239257812
1591904811.2153246,700,-817.7905883789062
1591904817.2003038,750,-907.5531616210938
1591904822.8052888,800,-891.85498046875
1591904829.2786217,850,-1207.7734375
1591904835.0731273,900,-1052.25
1591904840.7250133,950,-973.01904296875
1591904846.2725954,1000,-932.0765380859375
1591904852.104002,1050,-1003.7854614257812
1591904856.6468885,1100,-537.3857421875
1591904862.1721184,1150,-648.5344848632812
1591904867.2625003,1200,-755.0849609375
1591904872.1793227,1250,-667.6603393554688
1591904877.2628284,1300,-819.7671508789062
1591904881.9034486,1350,-558.8198852539062
1591904887.089581,1400,-755.1240234375
1591904891.920633,1450,-736.257568359375
1591904897.1307027,1500,-617.6452026367188
1591904902.2241204,1550,-853.0174560546875
1591904907.049214,1600,-568.3724975585938
1591904912.5325518,1650,-917.486083984375
1591904917.5122373,1700,-631.4744262695312
1591904921.9344544,1750,-559.9043579101562
1591904926.700761,1800,-633.10205078125
1591904930.9449067,1850,-562.8065795898438
1591904935.562837,1900,-580.3023681640625
1591904940.2433221,1950,-629.9508056640625
1591904944.7572803,2000,-653.8716430664062
1591904950.254865,2050,-771.2642211914062
1591904954.5734165,2100,-459.4093017578125
1591904958.9457295,2150,-505.2884826660156
1591904963.3316553,2200,-564.6160278320312
1591904967.8103366,2250,-579.5281372070312
1591904972.304071,2300,-600.4515991210938
1591904977.0962641,2350,-613.5401000976562
1591904981.9562342,2400,-638.320556640625
1591904986.4771454,2450,-556.7078247070312
1591904991.2175097,2500,-685.6658325195312
1591904996.4673824,2550,-803.5430297851562
1591905001.3154223,2600,-538.432373046875
1591905006.1066077,2650,-603.0987548828125
1591905011.0226152,2700,-576.591796875
1591905015.4973075,2750,-603.2484130859375
1591905019.9763584,2800,-431.8710632324219
1591905024.4145098,2850,-588.6844482421875
1591905028.376898,2900,-365.823974609375
1591905032.2026742,2950,-366.81756591796875
1591905035.9496577,3000,-355.40325927734375
1591905040.1813033,3050,-520.439697265625
1591905044.959726,3100,-597.3433227539062
1591905048.8283513,3150,-385.84619140625
1591905052.4247348,3200,-370.9614562988281
1591905056.5078518,3250,-342.2533874511719
1591905060.5340817,3300,-356.26483154296875
1591905064.4894922,3350,-399.762451171875
1591905069.522048,3400,-642.4067993164062
1591905074.0349684,3450,-635.3004760742188
1591905078.204846,3500,-503.42144775390625
1591905082.047553,3550,-336.1890869140625
1591905086.0616243,3600,-374.8697814941406
1591905090.4537454,3650,-492.6770324707031
1591905094.5627587,3700,-428.95361328125
1591905098.9600346,3750,-480.3272705078125
1591905103.167848,3800,-519.1256103515625
1591905107.0380802,3850,-485.9665832519531
1591905110.7612438,3900,-381.6356506347656
1591905114.8476026,3950,-492.1292724609375
1591905119.4433148,4000,-549.5299682617188
1591905122.949965,4050,-307.6184387207031
1591905127.2875795,4100,-440.2755432128906
1591905131.5970566,4150,-481.1259460449219
1591905135.9145124,4200,-540.4025268554688
1591905140.5671067,4250,-608.30029296875
1591905145.1363854,4300,-596.0503540039062
1591905149.050916,4350,-435.4404296875
1591905153.687518,4400,-558.10498046875
1591905157.446458,4450,-323.4539794921875
1591905161.7998316,4500,-436.6905517578125
1591905166.6209247,4550,-653.2802734375
1591905170.453657,4600,-324.9295959472656
1591905174.4669242,4650,-341.91046142578125
1591905178.658716,4700,-382.80621337890625
1591905182.634087,4750,-366.1541442871094
1591905186.2603893,4800,-343.1216125488281
1591905190.1749234,4850,-412.2882080078125
1591905193.9279153,4900,-294.4154357910156
1591905198.214426,4950,-558.9574584960938
1591905202.0621374,5000,-397.55181884765625
1591905206.147293,5050,-404.39727783203125
1591905209.8980076,5100,-293.1556091308594
1591905213.3069215,5150,-270.91729736328125
1591905217.9704556,5200,-451.6814880371094
1591905221.4741313,5250,-286.0379333496094
1591905225.2839434,5300,-334.0497131347656
1591905228.750674,5350,-315.5985412597656
1591905232.6532693,5400,-428.4262390136719
1591905236.7652903,5450,-397.8221435546875
1591905241.0258512,5500,-485.16796875
1591905244.3280203,5550,-182.6944122314453
1591905248.0101752,5600,-385.9391174316406
1591905252.0325904,5650,-414.8149719238281
1591905256.1475878,5700,-365.4082946777344
1591905259.355011,5750,-307.693603515625
1591905262.696778,5800,-244.2516326904297
1591905266.7010713,5850,-302.205078125
1591905270.1688309,5900,-266.39404296875
1591905273.5726972,5950,-223.84396362304688
1591905277.2887862,6000,-351.2197265625
1591905280.9500003,6050,-352.4191589355469
1591905284.863536,6100,-441.5282287597656
1591905288.6783063,6150,-321.0788269042969
1591905292.2487872,6200,-257.3784484863281
1591905296.1333778,6250,-368.2882080078125
1591905299.698838,6300,-352.826171875
1591905303.29921,6350,-295.67449951171875
1591905307.1379461,6400,-325.3973693847656
