Wall time,Step,Value
1592181667.955584,1,-498.70880126953125
1592181668.0115368,50,-227.44891357421875
1592181668.0315208,100,-176.65548706054688
1592181668.0474603,150,-208.03579711914062
1592181668.0634723,200,-177.88185119628906
1592181672.3623943,250,-207.06727600097656
1592181700.1956792,300,-167.15223693847656
1592181724.3321793,350,-137.61778259277344
1592181750.9149086,400,-177.30882263183594
1592181775.9442043,450,-207.69650268554688
1592181802.6348302,500,-217.26455688476562
1592181831.4461842,550,-177.08663940429688
1592181861.8536205,600,-226.8228302001953
1592181887.9493854,650,-147.35971069335938
1592181918.8498917,700,-176.72760009765625
1592181946.4250946,750,-167.15093994140625
1592181979.3118804,800,-186.29742431640625
1592182012.2596893,850,-136.32164001464844
1592182043.6407285,900,-166.46401977539062
1592182070.0041845,950,-187.3192138671875
1592182100.5481818,1000,-196.7072296142578
1592182133.5372765,1050,-166.5643768310547
1592182163.2354198,1100,-126.864501953125
1592182196.3032315,1150,-216.55685424804688
1592182220.2405536,1200,-177.59481811523438
1592182249.0273385,1250,-146.87545776367188
1592182276.5691686,1300,-197.06268310546875
1592182306.5296047,1350,-176.76063537597656
1592182340.7512069,1400,-166.06483459472656
1592182373.379872,1450,-206.1666259765625
1592182404.707687,1500,-136.49398803710938
1592182439.3209815,1550,-146.05364990234375
1592182469.0922444,1600,-196.69471740722656
1592182500.5267026,1650,-146.5000457763672
1592182531.7769349,1700,-146.63023376464844
1592182564.0775514,1750,-166.06338500976562
1592182598.6265345,1800,-146.0508270263672
1592182630.2672932,1850,-116.4508285522461
1592182664.2261217,1900,-186.2229461669922
1592182697.4821055,1950,-146.03477478027344
1592182731.0343235,2000,-186.26779174804688
1592182768.7981806,2050,-125.6250991821289
1592182798.9147656,2100,-116.72933959960938
1592182828.662785,2150,-126.72364807128906
1592182860.0015,2200,-136.67453002929688
1592182891.1687484,2250,-186.33587646484375
1592182927.8200366,2300,-185.72125244140625
1592182965.5872467,2350,-155.5857696533203
1592182998.7439423,2400,-156.0654296875
1592183035.6894407,2450,-185.64613342285156
1592183071.9986384,2500,-165.67837524414062
1592183110.0562534,2550,-115.44583129882812
1592183140.412295,2600,-146.7271728515625
1592183172.4705803,2650,-176.34120178222656
1592183212.4904208,2700,-135.07492065429688
1592183248.271763,2750,-135.65150451660156
1592183276.2986252,2800,-156.87867736816406
1592183314.485137,2850,-155.61758422851562
1592183357.0815382,2900,-154.94566345214844
1592183393.5812888,2950,-155.54525756835938
1592183431.6556764,3000,-135.3306884765625
1592183464.0860224,3050,-116.08094024658203
1592183501.2995727,3100,-145.56565856933594
1592183537.0819197,3150,-135.66558837890625
1592183567.2211237,3200,-136.3199920654297
1592183608.6803703,3250,-114.90435028076172
1592183650.2251549,3300,-154.87791442871094
1592183688.0550916,3350,-155.43467712402344
1592183729.7031767,3400,-94.8765869140625
1592183766.5660882,3450,-135.5422821044922
1592183797.2709596,3500,-156.3511199951172
1592183839.3539014,3550,-134.90736389160156
1592183877.1992238,3600,-105.36763000488281
1592183914.0119634,3650,-145.61129760742188
1592183960.980673,3700,-93.9006118774414
1592184002.5489163,3750,-84.64160919189453
1592184039.362145,3800,-105.46505737304688
1592184080.8139977,3850,-114.76696014404297
1592184119.1136334,3900,-95.18988800048828
1592184164.046585,3950,-34.2414436340332
1592184200.1249115,4000,-115.63870239257812
1592184239.4974802,4050,-115.06051635742188
1592184276.766577,4100,-125.45543670654297
1592184318.699919,4150,-114.67591094970703
1592184363.926948,4200,-104.23143768310547
1592184405.9192536,4250,-104.80986785888672
1592184448.6904063,4300,-94.57905578613281
1592184489.0266526,4350,-94.90227508544922
1592184528.929174,4400,-95.00830841064453
1592184574.1788747,4450,-63.986900329589844
