Wall time,Step,Value
1589607445.177145,0,-780.9413452148438
1589607445.183081,1,-817.6873779296875
1589607446.1285481,50,-570.5040283203125
1589607447.973716,100,-449.20135498046875
1589607450.366067,150,-500.45428466796875
1589607453.668962,200,-438.20849609375
1589607457.128764,250,-448.1205749511719
1589607460.472587,300,-479.7981262207031
1589607463.843634,350,-355.4637756347656
1589607467.471353,400,-421.4029235839844
1589607471.090016,450,-388.1817626953125
1589607474.877556,500,-456.6462707519531
1589607478.418187,550,-416.3571472167969
1589607482.181061,600,-450.7279357910156
1589607487.14247,650,-452.63568115234375
1589607490.9394891,700,-467.08837890625
1589607496.235571,750,-353.2782897949219
1589607502.0253189,800,-316.7117004394531
1589607506.978985,850,-296.5956115722656
1589607510.899318,900,-413.33599853515625
1589607515.3743858,950,-344.8298034667969
1589607520.349705,1000,-322.34381103515625
1589607524.831315,1050,-442.8143615722656
1589607528.985506,1100,-278.7889099121094
1589607533.112313,1150,-311.7710266113281
1589607537.1115332,1200,-339.46612548828125
1589607541.450194,1250,-292.8148498535156
1589607545.469648,1300,-292.2434387207031
1589607549.7745879,1350,-342.7737121582031
1589607554.01529,1400,-309.10540771484375
1589607558.40138,1450,-299.86083984375
1589607563.055593,1500,-248.7660675048828
1589607568.037882,1550,-265.3937072753906
1589607572.242254,1600,-329.24609375
1589607576.879578,1650,-291.29315185546875
1589607582.3153741,1700,-311.1360778808594
1589607587.067616,1750,-259.6686706542969
1589607591.486167,1800,-331.8531799316406
1589607595.462713,1850,-321.4891662597656
1589607599.186378,1900,-390.57257080078125
1589607603.4375691,1950,-245.06443786621094
1589607607.7760699,2000,-298.4385986328125
1589607612.0122318,2050,-282.1747131347656
1589607616.156773,2100,-328.78521728515625
1589607621.789768,2150,-288.3001403808594
1589607626.8599,2200,-315.5970153808594
1589607632.1565819,2250,-350.0864562988281
1589607637.511801,2300,-391.36383056640625
1589607643.8736498,2350,-326.8238830566406
1589607648.6757061,2400,-314.46234130859375
1589607653.279049,2450,-310.0829772949219
1589607657.509749,2500,-364.968505859375
1589607662.40821,2550,-397.5927734375
1589607666.849066,2600,-329.2750244140625
1589607671.680202,2650,-341.5870361328125
1589607676.998183,2700,-337.14825439453125
1589607682.446055,2750,-318.458984375
1589607686.7756748,2800,-419.0400085449219
1589607691.263766,2850,-279.5852966308594
1589607695.6494741,2900,-313.56060791015625
1589607700.4488,2950,-337.422607421875
1589607704.784996,3000,-299.3697509765625
1589607709.05058,3050,-362.4142761230469
1589607713.5260642,3100,-315.8411865234375
1589607717.88523,3150,-276.4019470214844
1589607722.408299,3200,-285.5513610839844
1589607726.986944,3250,-341.98321533203125
1589607731.5927439,3300,-383.25787353515625
1589607736.020023,3350,-379.593017578125
1589607741.8735812,3400,-290.05218505859375
1589607747.223336,3450,-267.4358825683594
1589607753.4184508,3500,-329.9549255371094
1589607759.256654,3550,-323.87249755859375
1589607766.3720589,3600,-344.3004455566406
1589607773.483955,3650,-319.2425842285156
1589607779.294702,3700,-404.1424560546875
1589607784.4334762,3750,-361.77081298828125
1589607788.49772,3800,-393.53240966796875
1589607793.3041248,3850,-278.8754577636719
1589607798.2036211,3900,-339.0373840332031
1589607802.920628,3950,-320.97509765625
1589607810.716636,4000,-274.7543029785156
1589607818.414539,4050,-316.4046325683594
1589607824.635348,4100,-334.05474853515625
1589607830.1927629,4150,-241.6227264404297
1589607836.418014,4200,-289.1677551269531
1589607842.4408839,4250,-307.51025390625
