Wall time,Step,Value
1587517924.9612548,1,-671.373046875
1587517925.082558,50,-460.6804504394531
1587517925.1536808,100,-535.895751953125
1587517929.774945,150,-357.3389587402344
1587517945.976268,200,-502.09857177734375
1587517968.121526,250,-450.81939697265625
1587517982.620863,300,-416.2676696777344
1587517999.1324968,350,-439.4808349609375
1587518013.072147,400,-515.3909912109375
1587518026.276383,450,-378.9463195800781
1587518042.5843,500,-421.2174377441406
1587518061.3533351,550,-496.70648193359375
1587518077.227015,600,-318.75433349609375
1587518092.257232,650,-415.8890686035156
1587518107.061274,700,-540.43603515625
1587518123.488033,750,-443.22705078125
1587518140.1268349,800,-460.394775390625
1587518159.50915,850,-395.64892578125
1587518178.449177,900,-377.4391784667969
1587518195.36456,950,-296.8808898925781
1587518215.5636952,1000,-478.3917541503906
1587518231.448767,1050,-377.88018798828125
1587518248.942837,1100,-454.0350341796875
1587518265.961426,1150,-457.1112976074219
1587518289.352865,1200,-457.7579345703125
1587518307.550317,1250,-338.3145446777344
1587518326.533365,1300,-417.3723449707031
1587518344.704917,1350,-334.53125
1587518360.941045,1400,-294.2730712890625
1587518380.0247428,1450,-453.6576232910156
1587518397.9635189,1500,-311.3055114746094
1587518416.8660018,1550,-259.1468505859375
1587518439.693588,1600,-296.2454528808594
1587518460.963999,1650,-257.1243896484375
1587518480.7702,1700,-455.4748229980469
1587518500.47649,1750,-376.1103820800781
1587518515.6861272,1800,-316.6816101074219
1587518530.840548,1850,-417.5586853027344
1587518546.753109,1900,-433.9804382324219
1587518563.318509,1950,-479.6923828125
1587518578.8141708,2000,-375.90966796875
1587518592.957165,2050,-322.90887451171875
1587518607.229568,2100,-216.27487182617188
1587518621.81889,2150,-339.2825927734375
1587518636.4612129,2200,-338.5279846191406
1587518650.599128,2250,-216.61923217773438
1587518664.751745,2300,-416.6960144042969
1587518677.920619,2350,-254.1860809326172
1587518693.072374,2400,-594.223876953125
1587518707.361332,2450,-376.74505615234375
1587518722.265459,2500,-293.3748474121094
1587518736.5911329,2550,-353.5372619628906
1587518750.679123,2600,-337.163818359375
1587518765.043658,2650,-234.70745849609375
1587518779.216976,2700,-339.41656494140625
1587518794.003073,2750,-215.32200622558594
1587518808.327389,2800,-228.30807495117188
1587518822.252875,2850,-314.2519836425781
1587518836.5582862,2900,-335.7197570800781
1587518851.008883,2950,-379.271484375
1587518865.1380658,3000,-417.14849853515625
1587518880.519568,3050,-375.3681335449219
1587518895.050389,3100,-375.745849609375
1587518908.881834,3150,-192.8502960205078
1587518922.7876039,3200,-237.9805145263672
1587518937.2659159,3250,-230.6925811767578
1587518952.099474,3300,-334.3424072265625
1587518966.0801432,3350,-218.38284301757812
1587518980.822186,3400,-416.4791564941406
1587518994.6260989,3450,-230.70333862304688
1587519009.0801861,3500,-290.5513610839844
1587519023.081293,3550,-318.8768005371094
1587519037.261847,3600,-194.23382568359375
1587519051.775257,3650,-272.7428283691406
1587519066.032317,3700,-196.6466522216797
1587519080.078633,3750,-216.9255828857422
1587519094.838309,3800,-231.3697509765625
1587519108.964839,3850,-254.62721252441406
1587519123.1736681,3900,-212.3708038330078
1587519138.032236,3950,-332.7254943847656
1587519152.6294742,4000,-156.42691040039062
1587519167.921213,4050,-275.7431335449219
1587519182.091595,4100,-256.28961181640625
1587519196.9387589,4150,-174.91871643066406
1587519211.518812,4200,-294.3599548339844
1587519225.997838,4250,-189.64178466796875
1587519240.6217768,4300,-214.3068389892578
1587519255.1210759,4350,-258.042724609375
1587519270.0155442,4400,-217.08065795898438
1587519284.2975628,4450,-217.6941375732422
1587519299.0871732,4500,-273.3722839355469
1587519314.3581078,4550,-352.0306091308594
1587519329.2806551,4600,-235.16908264160156
1587519344.0332549,4650,-254.3245849609375
1587519358.404614,4700,-240.228515625
1587519373.5680919,4750,-232.28466796875
1587519389.2181,4800,-340.30120849609375
1587519403.854499,4850,-254.3365478515625
1587519418.752413,4900,-214.79420471191406
1587519433.466018,4950,-213.4085693359375
1587519448.135363,5000,-275.5985107421875
1587519463.030902,5050,-290.95989990234375
1587519477.719031,5100,-253.0282440185547
1587519492.434161,5150,-232.79197692871094
1587519507.378934,5200,-296.2797546386719
1587519522.173228,5250,-192.26939392089844
1587519536.940879,5300,-218.3712921142578
1587519551.61532,5350,-255.47413635253906
1587519566.4048698,5400,-150.60508728027344
1587519581.534621,5450,-236.46763610839844
1587519596.5338,5500,-232.39111328125
1587519610.7795498,5550,-210.75279235839844
1587519625.904185,5600,-197.2982940673828
1587519640.583394,5650,-151.9825897216797
1587519655.696649,5700,-315.6925354003906
1587519670.5260348,5750,-237.0626220703125
1587519685.225239,5800,-173.58078002929688
1587519699.926514,5850,-212.02928161621094
1587519714.528717,5900,-171.99806213378906
1587519730.00336,5950,-215.91757202148438
1587519745.117023,6000,-173.58920288085938
1587519760.5367749,6050,-210.22242736816406
1587519775.823879,6100,-253.51132202148438
1587519789.9615731,6150,-130.09971618652344
1587519805.503547,6200,-253.017578125
1587519820.283796,6250,-154.4657745361328
